"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Home";"Nrtg";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"1";487890;2571;2571;8594;11;11;38;18;7;18;7;21;21;200;"Basketball Stars Weert";"Basketba";487890;8594;2571;8594;28;19;52;30;9;18;12;25;6;200;"GasTerra Flames";"GasTerra";5,06;12,88;68;106;FALSE;TRUE;82,06;88,88;74,8040625;76,8181818181818;76;FALSE;75,8111221590909;89,4736842105263;139,473684210526;FALSE;-50;0,508928571428571;0,21875;0,276315789473684;0,196428571428571;0,621428571428571;0,363636363636364;0,0789473684210526;0,271428571428571;0,622338683262365;0,29479200786112;0,0828693088765149;0,473684210526316;0,388888888888889;1
"2";487890;8594;2571;8594;28;19;52;30;9;18;12;25;6;200;"GasTerra Flames";"GasTerra";487890;2571;2571;8594;11;11;38;18;7;18;7;21;21;200;"Basketball Stars Weert";"Basketba";12,88;5,06;106;68;TRUE;FALSE;88,88;82,06;76,8181818181818;74,8040625;76;FALSE;75,8111221590909;139,473684210526;89,4736842105263;TRUE;50;0,621428571428571;0,363636363636364;0,0789473684210526;0,271428571428571;0,508928571428571;0,21875;0,276315789473684;0,196428571428571;0,627413127413127;0,217181467181467;0,155405405405405;0,576923076923077;0,5;0,678571428571429
"3";487891;3120;3120;6115;20;15;45;15;3;16;9;19;12;200;"ABC Amsterdam";"ABC Amst";487891;6115;3120;6115;26;16;33;14;9;22;14;33;17;200;"Giants Academy";"Giants A";9,2;11,96;54;71;FALSE;TRUE;82,2;83,96;72,3407142857143;69,4339393939394;71;FALSE;70,8873268398268;76,056338028169;100;FALSE;-23,943661971831;0,319672131147541;0,214285714285714;0,169014084507042;0,245901639344262;0,5;0,424242424242424;0,23943661971831;0,290909090909091;0,641025641025641;0,227920227920228;0,131054131054131;0,333333333333333;0,1875;0,75
"4";487891;6115;3120;6115;26;16;33;14;9;22;14;33;17;200;"Giants Academy";"Giants A";487891;3120;3120;6115;20;15;45;15;3;16;9;19;12;200;"ABC Amsterdam";"ABC Amst";11,96;9,2;71;54;TRUE;FALSE;83,96;82,2;69,4339393939394;72,3407142857143;71;FALSE;70,8873268398268;100;76,056338028169;TRUE;23,943661971831;0,5;0,424242424242424;0,23943661971831;0,290909090909091;0,319672131147541;0,214285714285714;0,169014084507042;0,245901639344262;0,492831541218638;0,328554360812425;0,178614097968937;0,424242424242424;0,409090909090909;0,615384615384615
"5";487892;2823;3138;2823;24;18;37;20;5;17;24;27;12;165;"EBBC";"EBBC";487892;3138;3138;2823;20;17;36;22;11;33;6;22;18;235;"BV Aris";"BV Aris";11,04;9,2;73;94;FALSE;TRUE;77,04;96,2;60,8504347826087;89,1963636363636;75;TRUE;75,0233992094862;97,3333333333333;125,333333333333;TRUE;-28;0,509259259259259;0,521739130434783;0,16;0,333333333333333;0,557971014492754;0,181818181818182;0,24;0,246376811594203;0,568880688806888;0,261377613776138;0,169741697416974;0,540540540540541;0,294117647058824;0,75
"6";487892;3138;3138;2823;20;17;36;22;11;33;6;22;18;235;"BV Aris";"BV Aris";487892;2823;3138;2823;24;18;37;20;5;17;24;27;12;165;"EBBC";"EBBC";9,2;11,04;94;73;TRUE;FALSE;96,2;77,04;89,1963636363636;60,8504347826087;75;TRUE;75,0233992094862;125,333333333333;97,3333333333333;FALSE;28;0,557971014492754;0,181818181818182;0,24;0,246376811594203;0,509259259259259;0,521739130434783;0,16;0,333333333333333;0,460358056265985;0,421994884910486;0,117647058823529;0,611111111111111;0,333333333333333;0,85
"7";487893;2393;3107;2393;25;16;44;17;4;30;21;31;14;200;"Matrixx Magixx";"Matrixx ";487893;3107;3107;2393;21;13;37;18;6;22;10;35;16;200;"BS Leiden";"BS Leide";11,5;9,66;62;67;FALSE;TRUE;99,5;84,66;78,23375;75,5258536585366;77;FALSE;76,8798018292683;80,5194805194805;87,012987012987;TRUE;-6,49350649350649;0,310810810810811;0,375;0,181818181818182;0,216216216216216;0,457627118644068;0,24390243902439;0,207792207792208;0,220338983050847;0,514619883040936;0,350877192982456;0,134502923976608;0,386363636363636;0,133333333333333;0,64
"8";487893;3107;3107;2393;21;13;37;18;6;22;10;35;16;200;"BS Leiden";"BS Leide";487893;2393;3107;2393;25;16;44;17;4;30;21;31;14;200;"Matrixx Magixx";"Matrixx ";9,66;11,5;67;62;TRUE;FALSE;84,66;99,5;75,5258536585366;78,23375;77;FALSE;76,8798018292683;87,012987012987;80,5194805194805;FALSE;6,49350649350649;0,457627118644068;0,24390243902439;0,207792207792208;0,220338983050847;0,310810810810811;0,375;0,181818181818182;0,216216216216216;0,538887270608797;0,320419458199825;0,140693271191378;0,486486486486487;0,272727272727273;0,619047619047619
"9";487894;2571;8594;2571;26;20;36;13;5;15;8;26;16;200;"Basketball Stars Weert";"Basketba";487894;8594;8594;2571;19;14;45;24;5;16;10;28;13;200;"GasTerra Flames";"GasTerra";11,96;8,74;61;77;FALSE;TRUE;78,96;82,74;71,1133333333333;73,2288888888889;72;FALSE;72,1711111111111;84,7222222222222;106,944444444444;TRUE;-22,2222222222222;0,401960784313726;0,222222222222222;0,222222222222222;0,392156862745098;0,516393442622951;0,277777777777778;0,180555555555556;0,229508196721311;0,571791613722999;0,238246505717916;0,189961880559085;0,361111111111111;0,333333333333333;0,769230769230769
"10";487894;8594;8594;2571;19;14;45;24;5;16;10;28;13;200;"GasTerra Flames";"GasTerra";487894;2571;8594;2571;26;20;36;13;5;15;8;26;16;200;"Basketball Stars Weert";"Basketba";8,74;11,96;77;61;TRUE;FALSE;82,74;78,96;73,2288888888889;71,1133333333333;72;FALSE;72,1711111111111;106,944444444444;84,7222222222222;FALSE;22,2222222222222;0,516393442622951;0,277777777777778;0,180555555555556;0,229508196721311;0,401960784313726;0,222222222222222;0,222222222222222;0,392156862745098;0,645253799827932;0,229423573272154;0,125322626899914;0,533333333333333;0,3125;0,736842105263158
