"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"1",1,522465,3103,3103,8594,34,24,37,14,0,14,11,24,25,200,"Rotterdam Basketbal","Rotterda",522465,8594,3103,8594,27,12,38,24,6,27,18,33,26,200,"GasTerra Flames","GasTerra",15.64,12.42,52,78,FALSE,TRUE,91.64,103.42,81.7425,87.37,85,TRUE,84.55625,61.1764705882353,91.7647058823529,FALSE,-30.5882352941176,0.274509803921569,0.25,0.294117647058824,0.470588235294118,0.507692307692308,0.428571428571429,0.305882352941176,0.184615384615385,0.555222088835534,0.210084033613445,0.23469387755102,0.378378378378378,0,0.705882352941177
"2",2,522465,8594,3103,8594,27,12,38,24,6,27,18,33,26,200,"GasTerra Flames","GasTerra",522465,3103,3103,8594,34,24,37,14,0,14,11,24,25,200,"Rotterdam Basketbal","Rotterda",12.42,15.64,78,52,TRUE,FALSE,103.42,91.64,87.37,81.7425,85,TRUE,84.55625,91.7647058823529,61.1764705882353,TRUE,30.5882352941176,0.507692307692308,0.428571428571429,0.305882352941176,0.184615384615385,0.274509803921569,0.25,0.294117647058824,0.470588235294118,0.490829243089641,0.348747093774219,0.160423663136141,0.631578947368421,0.222222222222222,0.444444444444444
"3",3,522466,1771,2571,1771,25,19,50,21,7,16,18,33,16,200,"Landstede Basketbal","Landsted",522466,2571,2571,1771,23,16,45,21,2,15,7,25,13,200,"Basketball Stars Weert","Basketba",11.5,10.58,82,64,TRUE,FALSE,93.5,83.58,76.4795348837209,76.65175,77,FALSE,76.5656424418605,106.493506493506,83.1168831168831,TRUE,23.3766233766234,0.477272727272727,0.418604651162791,0.207792207792208,0.287878787878788,0.4,0.175,0.168831168831169,0.266666666666667,0.645161290322581,0.206451612903226,0.148387096774194,0.42,0.4375,0.76
"4",4,522466,2571,2571,1771,23,16,45,21,2,15,7,25,13,200,"Basketball Stars Weert","Basketba",522466,1771,2571,1771,25,19,50,21,7,16,18,33,16,200,"Landstede Basketbal","Landsted",10.58,11.5,64,82,FALSE,TRUE,83.58,93.5,76.65175,76.4795348837209,77,FALSE,76.5656424418605,83.1168831168831,106.493506493506,FALSE,-23.3766233766234,0.4,0.175,0.168831168831169,0.266666666666667,0.477272727272727,0.418604651162791,0.207792207792208,0.287878787878788,0.637574383678096,0.212524794559365,0.149900821762539,0.466666666666667,0.133333333333333,0.695652173913043
"5",5,522467,3138,6115,3138,20,14,48,26,7,21,9,32,8,200,"BV Aris","BV Aris",522467,6115,6115,3138,27,17,51,25,3,17,16,28,15,200,"Giants Academy","Giants A",9.2,12.42,87,76,TRUE,FALSE,86.2,95.42,76.8302702702703,81.1533333333333,79,TRUE,78.9918018018018,110.126582278481,96.2025316455696,TRUE,13.9240506329114,0.528985507246377,0.243243243243243,0.10126582278481,0.202898550724638,0.433823529411765,0.333333333333333,0.189873417721519,0.25,0.61381074168798,0.268542199488491,0.117647058823529,0.541666666666667,0.333333333333333,0.7
"6",6,522467,6115,6115,3138,27,17,51,25,3,17,16,28,15,200,"Giants Academy","Giants A",522467,3138,6115,3138,20,14,48,26,7,21,9,32,8,200,"BV Aris","BV Aris",12.42,9.2,76,87,FALSE,TRUE,95.42,86.2,81.1533333333333,76.8302702702703,79,TRUE,78.9918018018018,96.2025316455696,110.126582278481,FALSE,-13.9240506329114,0.433823529411765,0.333333333333333,0.189873417721519,0.25,0.528985507246377,0.243243243243243,0.10126582278481,0.202898550724638,0.634170604327282,0.211390201442427,0.154439194230291,0.490196078431373,0.176470588235294,0.62962962962963
"7",7,522468,2393,2393,3107,23,16,46,20,5,20,9,26,17,225,"Matrixx Magixx","Matrixx ",522468,3107,2393,3107,29,22,51,22,3,22,30,38,18,225,"BS Leiden","BS Leide",10.58,13.34,71,75,FALSE,TRUE,93.58,104.34,85.1793617021277,76.8257142857143,81,TRUE,72.0022559945964,87.6543209876543,92.5925925925926,FALSE,-4.93827160493828,0.416666666666667,0.191489361702128,0.209876543209877,0.242424242424242,0.363013698630137,0.535714285714286,0.222222222222222,0.301369863013699,0.600679028466963,0.261164794985636,0.138156176547401,0.434782608695652,0.25,0.695652173913043
"8",8,522468,3107,2393,3107,29,22,51,22,3,22,30,38,18,225,"BS Leiden","BS Leide",522468,2393,2393,3107,23,16,46,20,5,20,9,26,17,225,"Matrixx Magixx","Matrixx ",13.34,10.58,75,71,TRUE,FALSE,104.34,93.58,76.8257142857143,85.1793617021277,81,TRUE,72.0022559945964,92.5925925925926,87.6543209876543,TRUE,4.93827160493828,0.363013698630137,0.535714285714286,0.222222222222222,0.301369863013699,0.416666666666667,0.191489361702128,0.209876543209877,0.242424242424242,0.590687977762335,0.254806578642576,0.154505443595089,0.431372549019608,0.136363636363636,0.758620689655172
"9",9,522469,2823,2823,3120,15,14,39,18,6,13,8,30,17,200,"EBBC","EBBC",522469,3120,2823,3120,18,9,32,12,4,22,16,18,11,200,"ABC Amsterdam","ABC Amst",6.9,8.28,68,45,TRUE,FALSE,75.9,73.28,66.6815384615385,59.1373913043478,63,TRUE,62.9094648829431,107.936507936508,71.4285714285714,FALSE,36.5079365079365,0.519230769230769,0.307692307692308,0.26984126984127,0.269230769230769,0.333333333333333,0.347826086956522,0.174603174603175,0.166666666666667,0.66213921901528,0.220713073005093,0.117147707979626,0.461538461538462,0.461538461538462,0.933333333333333
"10",10,522469,3120,2823,3120,18,9,32,12,4,22,16,18,11,200,"ABC Amsterdam","ABC Amst",522469,2823,2823,3120,15,14,39,18,6,13,8,30,17,200,"EBBC","EBBC",8.28,6.9,45,68,FALSE,TRUE,73.28,75.9,59.1373913043478,66.6815384615385,63,TRUE,62.9094648829431,71.4285714285714,107.936507936508,TRUE,-36.5079365079365,0.333333333333333,0.347826086956522,0.174603174603175,0.166666666666667,0.519230769230769,0.307692307692308,0.26984126984127,0.269230769230769,0.513808606294155,0.353243416827232,0.132947976878613,0.375,0.181818181818182,0.5
