"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"1",1,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667
"2",2,591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",6.44,5.52,97,53,TRUE,FALSE,85.44,78.52,77.5648,74.4487804878049,76,FALSE,76.0067902439024,127.631578947368,69.7368421052632,57.8947368421053,TRUE,0.6953125,0.32,0.197368421052632,0.125,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.766609880749574,0.141964792731403,0.0914253265190233,0.62962962962963,0.7,0.571428571428571
"3",3,591088,1771,2823,1771,25,20,40,18,2,19,17,29,13,200,"Landstede Basketbal","Landsted",591088,2823,2823,1771,13,8,45,21,7,20,12,22,11,200,"EBBC","EBBC",11.5,5.98,62,71,FALSE,TRUE,83.5,81.98,65.31,70.3926829268293,68,TRUE,67.8513414634146,91.1764705882353,104.411764705882,-13.2352941176471,TRUE,0.355932203389831,0.435897435897436,0.191176470588235,0.338983050847458,0.484615384615385,0.292682926829268,0.161764705882353,0.123076923076923,0.567375886524823,0.269503546099291,0.163120567375887,0.45,0.105263157894737,0.8
"4",4,591088,2823,2823,1771,13,8,45,21,7,20,12,22,11,200,"EBBC","EBBC",591088,1771,2823,1771,25,20,40,18,2,19,17,29,13,200,"Landstede Basketbal","Landsted",5.98,11.5,71,62,TRUE,FALSE,81.98,83.5,70.3926829268293,65.31,68,TRUE,67.8513414634146,104.411764705882,91.1764705882353,13.2352941176471,FALSE,0.484615384615385,0.292682926829268,0.161764705882353,0.123076923076923,0.355932203389831,0.435897435897436,0.191176470588235,0.338983050847458,0.633981403212172,0.281769512538743,0.0842490842490843,0.466666666666667,0.35,0.615384615384615
"5",5,591089,3103,3103,3138,20,10,40,21,4,16,6,10,19,200,"Rotterdam Basketbal","Rotterda",591089,3138,3103,3138,24,18,47,36,10,20,12,31,18,200,"BV Aris","BV Aris",9.2,11.04,64,120,FALSE,TRUE,84.2,96.04,78.8210810810811,83.7836363636364,81,TRUE,81.3023587223587,79.0123456790123,148.148148148148,-69.1358024691358,FALSE,0.482142857142857,0.162162162162162,0.234567901234568,0.178571428571429,0.761194029850746,0.545454545454545,0.222222222222222,0.26865671641791,0.613496932515337,0.245398773006135,0.141104294478528,0.525,0.25,0.5
"6",6,591089,3138,3103,3138,24,18,47,36,10,20,12,31,18,200,"BV Aris","BV Aris",591089,3103,3103,3138,20,10,40,21,4,16,6,10,19,200,"Rotterdam Basketbal","Rotterda",11.04,9.2,120,64,TRUE,FALSE,96.04,84.2,83.7836363636364,78.8210810810811,81,TRUE,81.3023587223587,148.148148148148,79.0123456790123,69.1358024691358,TRUE,0.761194029850746,0.545454545454545,0.222222222222222,0.26865671641791,0.482142857142857,0.162162162162162,0.234567901234568,0.178571428571429,0.602255253716043,0.256278831368529,0.141465914915428,0.765957446808511,0.5,0.75
"7",7,591090,3107,3107,3520,26,19,39,23,6,15,11,32,18,200,"BS Leiden","BS Leide",591090,3520,3107,3520,15,9,38,16,1,20,11,18,18,200,"Den Helder Kings Noordkop","Den Held",11.96,6.9,83,44,TRUE,FALSE,83.96,82.9,73.8134482758621,71.6774418604651,73,FALSE,72.7454450681636,113.698630136986,60.2739726027397,53.4246575342466,FALSE,0.592592592592593,0.379310344827586,0.246575342465753,0.351851851851852,0.301724137931034,0.255813953488372,0.246575342465753,0.155172413793103,0.591267434808975,0.227410551849606,0.181322013341419,0.58974358974359,0.4,0.730769230769231
"8",8,591090,3520,3107,3520,15,9,38,16,1,20,11,18,18,200,"Den Helder Kings Noordkop","Den Held",591090,3107,3107,3520,26,19,39,23,6,15,11,32,18,200,"BS Leiden","BS Leide",6.9,11.96,44,83,FALSE,TRUE,82.9,83.96,71.6774418604651,73.8134482758621,73,FALSE,72.7454450681636,60.2739726027397,113.698630136986,-53.4246575342466,TRUE,0.301724137931034,0.255813953488372,0.246575342465753,0.155172413793103,0.592592592592593,0.379310344827586,0.246575342465753,0.351851851851852,0.585516178736518,0.308166409861325,0.106317411402157,0.421052631578947,0.05,0.6
"9",9,591091,2393,10757,2393,24,14,56,26,8,15,18,34,11,200,"Matrixx Magixx","Matrixx ",591091,10757,10757,2393,26,17,46,19,5,21,9,26,14,200,"BC APOLLO A'dam","BC APOLL",11.04,11.96,90,70,TRUE,FALSE,93.04,92.96,76.8440909090909,83.33,80,TRUE,80.0870454545455,112.5,87.5,25,TRUE,0.535211267605634,0.409090909090909,0.1375,0.197183098591549,0.395522388059701,0.209302325581395,0.175,0.253731343283582,0.68259385665529,0.182837640175524,0.134568503169186,0.464285714285714,0.533333333333333,0.583333333333333
"10",10,591091,10757,10757,2393,26,17,46,19,5,21,9,26,14,200,"BC APOLLO A'dam","BC APOLL",591091,2393,10757,2393,24,14,56,26,8,15,18,34,11,200,"Matrixx Magixx","Matrixx ",11.96,11.04,70,90,FALSE,TRUE,92.96,93.04,83.33,76.8440909090909,80,TRUE,80.0870454545455,87.5,112.5,-25,FALSE,0.395522388059701,0.209302325581395,0.175,0.253731343283582,0.535211267605634,0.409090909090909,0.1375,0.197183098591549,0.58257345491388,0.265957446808511,0.151469098277609,0.41304347826087,0.238095238095238,0.653846153846154
