"";"plg_Name";"W";"L";"pts";"opp_pts";"avgps";"FG2M";"FG3M";"FG2A";"FG3A";"TO";"OR";"DR";"FTM";"FTA";"opp_FG2M";"opp_FG3M";"opp_FG2A";"opp_FG3A";"opp_TO";"opp_OR";"opp_DR";"opp_FTM";"opp_FTA";"Ortg";"Drtg";"Nrtg";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f"
"1";"Basketball Stars Weert";16;20;2743;2924;2737;876;175;1760;537;457;344;902;466;676;881;220;1611;673;533;344;1017;502;727;100,219218122031;106,832298136646;-6,61308001461454;0,49564649542882;0,252755326965467;0,166971136280599;0,202873313016979;0,530210157618214;0,276083467094703;0,194738765071246;0,219789842381786
"2";"BC APOLLO A'dam";4;32;2541;3064;2732;707;251;1397;756;605;314;798;374;593;924;230;1745;647;544;314;971;526;714;93,00878477306;112,152269399707;-19,1434846266472;0,503251277287506;0,244357976653696;0,221449487554905;0,173711100789596;0,530518394648829;0,282374100719424;0,199121522693997;0,219899665551839
"3";"BS Leiden";27;9;2812;2381;2585;748;240;1432;664;545;423;939;596;891;593;245;1291;788;529;423;790;460;666;108,781431334623;92,1083172147002;16,6731141199226;0,528625954198473;0,348722176422094;0,210831721470019;0,284351145038168;0,462000962000962;0,31057268722467;0,204642166344294;0,221260221260221
"4";"BV Aris";20;16;3008;2862;2772;900;225;1571;642;585;403;944;533;786;783;248;1514;752;524;403;845;552;791;108,513708513709;103,246753246753;5,26695526695526;0,559195661997289;0,322916666666667;0,211038961038961;0,240849525530953;0,509708737864078;0,299183370452858;0,189033189033189;0,24360105913504
"5";"Den Helder Kings Noordkop";18;18;2577;2625;2635;685;245;1420;766;589;420;872;472;654;760;190;1457;614;549;420;905;535;771;97,7988614800759;99,6204933586338;-1,82163187855788;0,481473010064044;0,316981132075472;0,223529411764706;0,215919487648673;0,504587155963303;0,325077399380805;0,208349146110057;0,258329309512313
"6";"EBBC";30;6;3076;2503;2641;853;266;1514;733;441;362;882;572;750;653;244;1367;691;608;362;858;465;649;116,471033699356;94,774706550549;21,6963271488073;0,557187360925679;0,29672131147541;0,166982203710716;0,254561637739208;0,49514091350826;0,290996784565916;0,23021582733813;0,225947521865889
"7";"GasTerra Flames";26;10;2832;2623;2641;831;248;1553;705;539;446;992;426;616;710;227;1453;692;491;446;822;522;738;107,232109049602;99,3184399848542;7,91366906474821;0,532772364924712;0,351735015772871;0,204089360090875;0,188662533215235;0,48974358974359;0,310152990264256;0,185914426353654;0,243356643356643
"8";"Landstede Basketbal";19;17;2900;2819;2700;753;279;1482;836;484;463;967;557;733;805;245;1544;717;537;463;890;474;668;107,407407407407;104,407407407407;3;0,505392579810181;0,34220251293422;0,179259259259259;0,240293356341674;0,518575851393189;0,323776223776224;0,198888888888889;0,209641751437417
"9";"Matrixx Magixx";17;19;2902;2984;2722;795;253;1573;737;495;427;936;553;758;807;276;1568;762;465;427;910;542;742;106,61278471712;109,625275532697;-3,01249081557678;0,508441558441558;0,319371727748691;0,181851579720794;0,239393939393939;0,524034334763948;0,313279530447542;0,170830271858927;0,232618025751073
"10";"Rotterdam Basketbal";3;33;2589;3195;2667;751;209;1511;699;509;402;764;460;625;983;266;1663;739;469;402;988;431;616;97,0753655793026;119,797525309336;-22,7221597300338;0,481674208144796;0,289208633093525;0,190851143607049;0,208144796380091;0,575353871773522;0,344768439108062;0,175853018372703;0,179433805162365
