"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Nrtg";"Home";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"1";764421;3103;3103;11480;22;12;33;17;5;23;5;27;20;200;"Rotterdam Basketbal";"Rotterda";764421;11480;3103;11480;19;14;57;25;6;21;20;38;13;200;"New Heroes";"New Hero";10,12;8,74;61;82;FALSE;TRUE;86,12;99,74;81,8897674418605;78,34;80;FALSE;80,1148837209302;76,25;102,5;-26,25;FALSE;0,4375;0,116279069767442;0,25;0,214285714285714;0,435897435897436;0,425531914893617;0,1625;0,179487179487179;0,499092558983666;0,347852389594676;0,153055051421658;0,515151515151515;0,217391304347826;0,545454545454545
"2";764421;11480;3103;11480;19;14;57;25;6;21;20;38;13;200;"New Heroes";"New Hero";764421;3103;3103;11480;22;12;33;17;5;23;5;27;20;200;"Rotterdam Basketbal";"Rotterda";8,74;10,12;82;61;TRUE;FALSE;99,74;86,12;78,34;81,8897674418605;80;FALSE;80,1148837209302;102,5;76,25;26,25;TRUE;0,435897435897436;0,425531914893617;0,1625;0,179487179487179;0,4375;0,116279069767442;0,25;0,214285714285714;0,657136269310583;0,242102836061794;0,100760894627623;0,43859649122807;0,285714285714286;0,736842105263158
"3";764422;3103;11480;3103;16;8;47;18;7;25;17;20;16;200;"Rotterdam Basketbal";"Rotterda";764422;11480;11480;3103;20;15;46;26;4;15;12;33;16;200;"New Heroes";"New Hero";7,36;9,2;65;79;FALSE;TRUE;95,36;86,2;78,2614;73,76125;76;TRUE;76,011325;85,5263157894737;103,947368421053;-18,4210526315789;TRUE;0,395833333333333;0,34;0,210526315789474;0,111111111111111;0,524590163934426;0,375;0,210526315789474;0,245901639344262;0,592237903225806;0,315020161290323;0,092741935483871;0,382978723404255;0,28;0,5
"4";764422;11480;11480;3103;20;15;46;26;4;15;12;33;16;200;"New Heroes";"New Hero";764422;3103;11480;3103;16;8;47;18;7;25;17;20;16;200;"Rotterdam Basketbal";"Rotterda";9,2;7,36;79;65;TRUE;FALSE;86,2;95,36;73,76125;78,2614;76;TRUE;76,011325;103,947368421053;85,5263157894737;18,4210526315789;FALSE;0,524590163934426;0,375;0,210526315789474;0,245901639344262;0,395833333333333;0,34;0,210526315789474;0,111111111111111;0,655270655270655;0,213675213675214;0,131054131054131;0,565217391304348;0,266666666666667;0,75
"5";764423;3107;10757;3107;21;14;42;19;9;21;10;30;15;200;"BS Leiden";"BS Leide";764423;10757;10757;3107;27;18;35;20;8;26;8;30;13;200;"BC APOLLO Amsterdam";"BC APOLL";9,66;12,42;79;82;FALSE;TRUE;87,66;86,42;78,2975;78,9863157894737;79;FALSE;78,6419078947368;100;103,79746835443;-3,79746835443038;TRUE;0,515873015873016;0,25;0,189873417721519;0,222222222222222;0,524590163934426;0,210526315789474;0,164556962025316;0,295081967213115;0,578034682080925;0,289017341040462;0,132947976878613;0,452380952380952;0,428571428571429;0,666666666666667
"6";764423;10757;10757;3107;27;18;35;20;8;26;8;30;13;200;"BC APOLLO Amsterdam";"BC APOLL";764423;3107;10757;3107;21;14;42;19;9;21;10;30;15;200;"BS Leiden";"BS Leide";12,42;9,66;82;79;TRUE;FALSE;86,42;87,66;78,9863157894737;78,2975;79;FALSE;78,6419078947368;103,79746835443;100;3,79746835443038;FALSE;0,524590163934426;0,210526315789474;0,164556962025316;0,295081967213115;0,515873015873016;0,25;0,189873417721519;0,222222222222222;0,476709343503133;0,354126940888041;0,169163715608826;0,571428571428571;0,307692307692308;0,666666666666667
"7";764424;3107;3107;10757;12;11;45;26;5;21;13;21;11;200;"BS Leiden";"BS Leide";764424;10757;3107;10757;9;6;24;11;14;32;6;28;17;200;"BC APOLLO Amsterdam";"BC APOLL";5,52;4,14;78;70;TRUE;FALSE;82,52;77,14;70,6456097560976;69,7688888888889;70;FALSE;70,2072493224932;111,428571428571;100;11,4285714285714;FALSE;0,507575757575758;0,317073170731707;0,157142857142857;0,166666666666667;0,571428571428571;0,222222222222222;0,242857142857143;0,107142857142857;0,629194630872483;0,293624161073825;0,0771812080536913;0,577777777777778;0,238095238095238;0,916666666666667
"8";764424;10757;3107;10757;9;6;24;11;14;32;6;28;17;200;"BC APOLLO Amsterdam";"BC APOLL";764424;3107;3107;10757;12;11;45;26;5;21;13;21;11;200;"BS Leiden";"BS Leide";4,14;5,52;70;78;FALSE;TRUE;77,14;82,52;69,7688888888889;70,6456097560976;70;FALSE;70,2072493224932;100;111,428571428571;-11,4285714285714;TRUE;0,571428571428571;0,222222222222222;0,242857142857143;0,107142857142857;0,507575757575758;0,317073170731707;0,157142857142857;0,166666666666667;0,399068839374792;0,532091785833056;0,0688393747921517;0,458333333333333;0,4375;0,666666666666667
"9";764470;3107;10757;3107;10;3;44;24;8;28;19;37;7;200;"BS Leiden";"BS Leide";764470;10757;10757;3107;12;8;36;15;6;33;13;25;8;200;"BC APOLLO Amsterdam";"BC APOLL";4,6;5,52;75;56;TRUE;FALSE;83,6;82,52;65,1181818181818;69,1664;67;TRUE;67,1422909090909;111,940298507463;83,5820895522388;28,3582089552239;TRUE;0,5;0,431818181818182;0,104477611940299;0,0416666666666667;0,347826086956522;0,26;0,119402985074627;0,115942028985507;0,574412532637076;0,365535248041776;0,0600522193211488;0,545454545454545;0,285714285714286;0,3
"10";764470;10757;10757;3107;12;8;36;15;6;33;13;25;8;200;"BC APOLLO Amsterdam";"BC APOLL";764470;3107;10757;3107;10;3;44;24;8;28;19;37;7;200;"BS Leiden";"BS Leide";5,52;4,6;56;75;FALSE;TRUE;82,52;83,6;69,1664;65,1181818181818;67;TRUE;67,1422909090909;83,5820895522388;111,940298507463;-28,3582089552239;FALSE;0,347826086956522;0,26;0,119402985074627;0,115942028985507;0,5;0,431818181818182;0,104477611940299;0,0416666666666667;0,483091787439614;0,442834138486312;0,0740740740740741;0,416666666666667;0,181818181818182;0,666666666666667
"11";764475;8594;11480;8594;21;16;47;25;6;20;10;28;7;200;"Donar";"Donar";764475;11480;11480;8594;17;11;45;19;9;20;12;30;15;200;"New Heroes";"New Hero";9,66;7,82;84;76;TRUE;FALSE;83,66;87,82;74,03;75,943;75;FALSE;74,9865;112;101,333333333333;10,6666666666667;TRUE;0,507462686567164;0,25;0,0933333333333333;0,238805970149254;0,5;0,3;0,2;0,169230769230769;0,613096791025307;0,26089225150013;0,126010957474563;0,531914893617021;0,3;0,761904761904762
"12";764475;11480;11480;8594;17;11;45;19;9;20;12;30;15;200;"New Heroes";"New Hero";764475;8594;11480;8594;21;16;47;25;6;20;10;28;7;200;"Donar";"Donar";7,82;9,66;76;84;FALSE;TRUE;87,82;83,66;75,943;74,03;75;FALSE;74,9865;101,333333333333;112;-10,6666666666667;FALSE;0,5;0,3;0,2;0,169230769230769;0,507462686567164;0,25;0,0933333333333333;0,238805970149254;0,617962098324636;0,274649821477616;0,107388080197748;0,422222222222222;0,45;0,647058823529412
"13";764476;8594;8594;11480;23;19;32;25;9;21;3;28;10;200;"Donar";"Donar";764476;11480;8594;11480;21;16;47;19;2;17;16;17;10;200;"New Heroes";"New Hero";10,58;9,66;96;60;TRUE;FALSE;73,58;83,66;70,5305;66,9290909090909;69;FALSE;68,7297954545455;139,130434782609;86,9565217391304;52,1739130434783;FALSE;0,726415094339623;0,15;0,144927536231884;0,358490566037736;0,34375;0,363636363636364;0,144927536231884;0,25;0,503302925448254;0,330292544825417;0,166404529726329;0,78125;0,428571428571429;0,826086956521739
"14";764476;11480;8594;11480;21;16;47;19;2;17;16;17;10;200;"New Heroes";"New Hero";764476;8594;8594;11480;23;19;32;25;9;21;3;28;10;200;"Donar";"Donar";9,66;10,58;60;96;FALSE;TRUE;83,66;73,58;66,9290909090909;70,5305;69;FALSE;68,7297954545455;86,9565217391304;139,130434782609;-52,1739130434783;TRUE;0,34375;0,363636363636364;0,144927536231884;0,25;0,726415094339623;0,15;0,144927536231884;0,358490566037736;0,638066793374966;0,230790116752647;0,131143089872387;0,404255319148936;0,117647058823529;0,761904761904762
"15";764477;8594;11480;8594;17;12;37;22;7;17;5;34;14;200;"Donar";"Donar";764477;11480;11480;8594;11;7;46;18;7;23;13;26;13;200;"New Heroes";"New Hero";7,82;5,06;77;64;TRUE;FALSE;75,82;87,06;71,5054838709677;74,0378723404255;73;FALSE;72,7716781056966;105,479452054795;87,6712328767123;17,8082191780822;TRUE;0,601851851851852;0,161290322580645;0,191780821917808;0,222222222222222;0,41304347826087;0,276595744680851;0,178082191780822;0,101449275362319;0,598511808476221;0,274991912002588;0,126496279521191;0,594594594594595;0,411764705882353;0,705882352941177
"16";764477;11480;11480;8594;11;7;46;18;7;23;13;26;13;200;"New Heroes";"New Hero";764477;8594;11480;8594;17;12;37;22;7;17;5;34;14;200;"Donar";"Donar";5,06;7,82;64;77;FALSE;TRUE;87,06;75,82;74,0378723404255;71,5054838709677;73;FALSE;72,7716781056966;87,6712328767123;105,479452054795;-17,8082191780822;FALSE;0,41304347826087;0,276595744680851;0,178082191780822;0,101449275362319;0,601851851851852;0,161290322580645;0,191780821917808;0,222222222222222;0,62111801242236;0,31055900621118;0,0683229813664596;0,391304347826087;0,304347826086957;0,636363636363636
"17";764478;8594;8594;11480;16;10;38;22;6;20;4;29;13;200;"Donar";"Donar";764478;11480;8594;11480;15;11;43;18;7;21;12;29;19;200;"New Heroes";"New Hero";7,36;6,9;72;68;TRUE;FALSE;78,36;89,9;74,4690909090909;77,6863414634146;76;FALSE;76,0777161862528;94,7368421052632;89,4736842105263;5,26315789473685;FALSE;0,53448275862069;0,121212121212121;0,171052631578947;0,172413793103448;0,4453125;0,292682926829268;0,25;0,171875;0,581395348837209;0,305997552019584;0,112607099143207;0,578947368421053;0,3;0,625
"18";764478;11480;8594;11480;15;11;43;18;7;21;12;29;19;200;"New Heroes";"New Hero";764478;8594;8594;11480;16;10;38;22;6;20;4;29;13;200;"Donar";"Donar";6,9;7,36;68;72;FALSE;TRUE;89,9;78,36;77,6863414634146;74,4690909090909;76;FALSE;76,0777161862528;89,4736842105263;94,7368421052632;-5,26315789473685;TRUE;0,4453125;0,292682926829268;0,25;0,171875;0,53448275862069;0,121212121212121;0,171052631578947;0,172413793103448;0,606488011283498;0,296191819464034;0,0973201692524683;0,418604651162791;0,333333333333333;0,733333333333333
"19";764500;1771;3107;1771;29;20;43;22;6;27;20;27;9;200;"Landstede Basketbal";"Landsted";764500;3107;3107;1771;25;20;44;19;10;26;12;25;14;200;"BS Leiden";"BS Leide";13,34;11,5;82;88;FALSE;TRUE;92,34;95,5;72,3666666666667;82,0015384615385;77;TRUE;77,1841025641026;106,493506493506;114,285714285714;-7,7922077922078;TRUE;0,442857142857143;0,444444444444444;0,116883116883117;0,285714285714286;0,485714285714286;0,307692307692308;0,181818181818182;0,285714285714286;0,515958723302136;0,323974082073434;0,16006719462443;0,511627906976744;0,222222222222222;0,689655172413793
"20";764500;3107;3107;1771;25;20;44;19;10;26;12;25;14;200;"BS Leiden";"BS Leide";764500;1771;3107;1771;29;20;43;22;6;27;20;27;9;200;"Landstede Basketbal";"Landsted";11,5;13,34;88;82;TRUE;FALSE;95,5;92,34;82,0015384615385;72,3666666666667;77;TRUE;77,1841025641026;114,285714285714;106,493506493506;7,7922077922078;FALSE;0,485714285714286;0,307692307692308;0,181818181818182;0,285714285714286;0,442857142857143;0,444444444444444;0,116883116883117;0,285714285714286;0,539877300613497;0,319018404907975;0,141104294478528;0,431818181818182;0,384615384615385;0,8
"21";764501;1771;1771;3107;11;9;38;19;15;27;8;24;14;200;"Landstede Basketbal";"Landsted";764501;3107;1771;3107;18;10;35;16;13;32;17;24;15;200;"BS Leiden";"BS Leide";5,06;8,28;92;81;TRUE;FALSE;84,06;90,28;75,7675;73,4209756097561;75;FALSE;74,594237804878;122,666666666667;108;14,6666666666667;FALSE;0,638461538461538;0,25;0,186666666666667;0,138461538461538;0,529850746268657;0,414634146341463;0,2;0,149253731343284;0,542392235226948;0,385383956608621;0,0722238081644305;0,5;0,555555555555556;0,818181818181818
"22";764501;3107;1771;3107;18;10;35;16;13;32;17;24;15;200;"BS Leiden";"BS Leide";764501;1771;1771;3107;11;9;38;19;15;27;8;24;14;200;"Landstede Basketbal";"Landsted";8,28;5,06;81;92;FALSE;TRUE;90,28;84,06;73,4209756097561;75,7675;75;FALSE;74,594237804878;108;122,666666666667;-14,6666666666667;TRUE;0,529850746268657;0,414634146341463;0,2;0,149253731343284;0,638461538461538;0,25;0,186666666666667;0,138461538461538;0,464930924548353;0,425079702444208;0,109989373007439;0,457142857142857;0,40625;0,555555555555556
"23";764502;1771;3107;1771;21;17;50;29;1;20;11;35;11;200;"Landstede Basketbal";"Landsted";764502;3107;3107;1771;18;12;43;14;8;21;9;26;18;200;"BS Leiden";"BS Leide";9,66;8,28;78;64;TRUE;FALSE;90,66;90,28;77,9356756756757;81,0877272727273;80;FALSE;79,5117014742015;97,5;80;17,5;TRUE;0,435714285714286;0,297297297297297;0,1375;0,242857142857143;0,40625;0,204545454545455;0,225;0,1875;0,627667587245795;0,251067034898318;0,121265377855888;0,58;0,05;0,80952380952381
"24";764502;3107;3107;1771;18;12;43;14;8;21;9;26;18;200;"BS Leiden";"BS Leide";764502;1771;3107;1771;21;17;50;29;1;20;11;35;11;200;"Landstede Basketbal";"Landsted";8,28;9,66;64;78;FALSE;TRUE;90,28;90,66;81,0877272727273;77,9356756756757;80;FALSE;79,5117014742015;80;97,5;-17,5;FALSE;0,40625;0,204545454545455;0,225;0,1875;0,435714285714286;0,297297297297297;0,1375;0,242857142857143;0,594908688433868;0,290536801328168;0,114554510237963;0,325581395348837;0,380952380952381;0,666666666666667
"25";764503;1771;1771;3107;21;16;39;18;5;25;10;25;9;200;"Landstede Basketbal";"Landsted";764503;3107;1771;3107;22;13;39;15;11;25;21;30;11;200;"BS Leiden";"BS Leide";9,66;10,12;67;76;FALSE;TRUE;82,66;85,12;71,6925;66,5578260869565;69;TRUE;69,1251630434783;97,1014492753623;110,144927536232;-13,0434782608696;FALSE;0,3984375;0,25;0,130434782608696;0,25;0,4921875;0,456521739130435;0,159420289855072;0,203125;0,529459679609014;0,339397230518599;0,131143089872387;0,461538461538462;0,2;0,761904761904762
"26";764503;3107;1771;3107;22;13;39;15;11;25;21;30;11;200;"BS Leiden";"BS Leide";764503;1771;1771;3107;21;16;39;18;5;25;10;25;9;200;"Landstede Basketbal";"Landsted";10,12;9,66;76;67;TRUE;FALSE;85,12;82,66;66,5578260869565;71,6925;69;TRUE;69,1251630434783;110,144927536232;97,1014492753623;13,0434782608696;TRUE;0,4921875;0,456521739130435;0,159420289855072;0,203125;0,3984375;0,25;0,130434782608696;0,25;0,526173772261198;0,337290879654614;0,136535348084188;0,384615384615385;0,44;0,590909090909091
"27";764528;1771;3107;1771;33;21;41;15;11;28;16;33;10;225;"Landstede Basketbal";"Landsted";764528;3107;3107;1771;15;9;48;21;9;26;12;38;20;225;"BS Leiden";"BS Leide";15,18;6,9;84;78;TRUE;FALSE;94,18;100,9;80,5474074074074;88,3453333333333;84;TRUE;75,0634403292181;100;92,8571428571429;7,14285714285714;TRUE;0,456521739130435;0,296296296296296;0,119047619047619;0,304347826086957;0,466216216216216;0,266666666666667;0,238095238095238;0,121621621621622;0,487051556189118;0,332620574958422;0,180327868852459;0,365853658536585;0,392857142857143;0,636363636363636
"28";764528;3107;3107;1771;15;9;48;21;9;26;12;38;20;225;"BS Leiden";"BS Leide";764528;1771;3107;1771;33;21;41;15;11;28;16;33;10;225;"Landstede Basketbal";"Landsted";6,9;15,18;78;84;FALSE;TRUE;100,9;94,18;88,3453333333333;80,5474074074074;84;TRUE;75,0634403292181;92,8571428571429;100;-7,14285714285714;FALSE;0,466216216216216;0,266666666666667;0,238095238095238;0,121621621621622;0,456521739130435;0,296296296296296;0,119047619047619;0,304347826086957;0,593325092707046;0,321384425216316;0,0852904820766378;0,4375;0,346153846153846;0,6
"29";764567;1771;1771;3107;28;18;40;15;4;22;12;25;14;200;"Landstede Basketbal";"Landsted";764567;3107;1771;3107;14;12;45;21;10;27;17;30;8;200;"BS Leiden";"BS Leide";12,88;6,44;60;84;FALSE;TRUE;88,88;86,44;75,7342857142857;68,6830952380952;72;TRUE;72,2086904761905;83,3333333333333;116,666666666667;-33,3333333333333;FALSE;0,338709677419355;0,285714285714286;0,194444444444444;0,290322580645161;0,5;0,404761904761905;0,111111111111111;0,166666666666667;0,534188034188034;0,293803418803419;0,172008547008547;0,375;0,181818181818182;0,642857142857143
"30";764567;3107;1771;3107;14;12;45;21;10;27;17;30;8;200;"BS Leiden";"BS Leide";764567;1771;1771;3107;28;18;40;15;4;22;12;25;14;200;"Landstede Basketbal";"Landsted";6,44;12,88;84;60;TRUE;FALSE;86,44;88,88;68,6830952380952;75,7342857142857;72;TRUE;72,2086904761905;116,666666666667;83,3333333333333;33,3333333333333;TRUE;0,5;0,404761904761905;0,111111111111111;0,166666666666667;0,338709677419355;0,285714285714286;0,194444444444444;0,290322580645161;0,573686894441611;0,344212136664967;0,0821009688934217;0,466666666666667;0,37037037037037;0,857142857142857
"31";764588;1771;3107;1771;7;6;40;16;15;31;6;43;8;200;"Landstede Basketbal";"Landsted";764588;3107;3107;1771;12;9;40;13;7;27;5;26;12;200;"BS Leiden";"BS Leide";3,22;5,52;83;56;TRUE;FALSE;82,22;84,52;74,195;79,2814583333333;77;TRUE;76,7382291666667;107,792207792208;72,7272727272727;35,0649350649351;TRUE;0,542253521126761;0,1875;0,103896103896104;0,0845070422535211;0,350746268656716;0,104166666666667;0,155844155844156;0,134328358208955;0,538938291565616;0,417677175963352;0,0433845324710321;0,4;0,483870967741935;0,857142857142857
"32";764588;3107;3107;1771;12;9;40;13;7;27;5;26;12;200;"BS Leiden";"BS Leide";764588;1771;3107;1771;7;6;40;16;15;31;6;43;8;200;"Landstede Basketbal";"Landsted";5,52;3,22;56;83;FALSE;TRUE;84,52;82,22;79,2814583333333;74,195;77;TRUE;76,7382291666667;72,7272727272727;107,792207792208;-35,0649350649351;FALSE;0,350746268656716;0,104166666666667;0,155844155844156;0,134328358208955;0,542253521126761;0,1875;0,103896103896104;0,0845070422535211;0,551571980143409;0,372311086596801;0,0761169332597904;0,325;0,259259259259259;0,75
"33";764606;1771;1771;8594;9;5;39;17;2;22;11;26;26;200;"Landstede Basketbal";"Landsted";764606;8594;1771;8594;22;17;39;21;7;23;6;31;11;200;"Donar";"Donar";4,14;10,12;45;80;FALSE;TRUE;91,14;83,12;79,37;76,29875;78;FALSE;77,834375;57,6923076923077;102,564102564103;-44,8717948717949;FALSE;0,327868852459016;0,261904761904762;0,333333333333333;0,0819672131147541;0,508064516129032;0,1875;0,141025641025641;0,274193548387097;0,598710469757445;0,337734111145226;0,0635554190973288;0,435897435897436;0,0909090909090909;0,555555555555556
