"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID.1","plg_ID.1","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"1",1,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,2,0,0,0,0,0,0,0,0,0,"1771 Jaouad  Darib",0,0,0,0,0.05,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"2",2,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,9,0,0,0,0,0,1,0,1,0,"1771 Lenno  Witteveen",0,0,0,0,0.225,1,0.0582038298120016,0,0,0,1,0,0,1,0,0.0987654320987654,0.164609053497942,0,0,0
"3",3,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,23,2,1,5,4,1,3,1,1,1,"1771 Mike  Schilder",3,4,2,0,0.575,9.92,0.225932083722413,12,1.20967741935484,0.25,0.375,0.6875,0.672645739910314,13.92,0.264462809917355,0.0772946859903382,0.0644122383252818,0.0966183574879227,0.050164008438701,0
"4",4,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,24,2,1,4,2,0,0,3,1,2,"1771 Freek  Vos",2,1,0,0,0.6,6.92,0.151038938362144,5,0.722543352601156,0.5,0,0.5,0.508130081300813,7.92,0.0526315789473684,0.148148148148148,0.0617283950617284,0.277777777777778,0,0
"5",5,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,25,1,0,3,3,1,2,1,5,2,"1771 Nigel van Oostrum",0,3,1,0,0.625,7.46,0.156312205343112,9,1.20643431635389,0.2,0.4,0.9,0.824175824175824,10.46,0.167832167832168,0.213333333333333,0.296296296296296,0.0888888888888889,0.0230754438818025,0
"6",6,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,25,5,4,7,6,0,3,0,4,0,"1771 J.T.  Tiller",2,3,2,0,0.625,12.3,0.257726558407543,16,1.30081300813008,0.5,0.3,0.6,0.650406504065041,15.3,0.188976377952756,0.142222222222222,0.237037037037037,0,0.0461508877636049,0
"7",7,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,27,2,1,5,3,0,3,0,3,4,"1771 Keegan  Hyland",1,0,1,0,0.675,12.92,0.250664493723687,7,0.541795665634675,0.25,0.375,0.375,0.39237668161435,12.92,0,0.0987654320987654,0.164609053497942,0,0.0213661517424097,0
"8",8,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,29,0,0,6,4,0,0,3,3,4,"1771 Nick  Oudendag",4,0,1,0,0.725,10,0.180632575278626,8,0.8,0,0,0.666666666666667,0.666666666666667,10,0,0.183908045977011,0.153256704980843,0.229885057471264,0.0198926240360366,0
"9",9,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875,736132,1771,36,4,4,5,5,6,9,1,1,0,"1771 J.T.  Yoho",0,3,0,0,0.9,15.84,0.230487166055526,32,2.02020202020202,0.285714285714286,0.642857142857143,1,1.01010101010101,18.84,0.146341463414634,0.0493827160493827,0.0411522633744856,0.0617283950617284,0,0
"10",10,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25,736132,10757,1,0,0,0,0,0,0,0,0,0,"10757 Shaquille  Austin",0,0,0,0,0.025,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
