"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID.1","plg_ID.1","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"1",1,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,11,0,0,3,1,0,0,0,0,0,"2571 Rik  Renkema",1,0,1,0,0.275,3,0.138933913768351,2,0.666666666666667,0,0,0.333333333333333,0.333333333333333,3,0,0,0,0,0.0468816220291116,0
"2",2,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,12,0,0,4,3,0,1,2,3,1,"2571 Antwan  Carter",5,0,1,0,0.3,6,0.254712175241977,6,1,0,0.2,0.6,0.6,6,0,0.252525252525253,0.4,0.16260162601626,0.0429748201933523,0
"3",3,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,20,0,0,2,1,0,3,0,0,1,"2571 Stefan  Mulder",1,0,1,0,0.5,6,0.152827305145186,2,0.333333333333333,0,0.6,0.2,0.2,6,0,0,0,0,0.0257848921160114,0
"4",4,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,21,0,0,0,0,1,2,0,3,3,"2571 Sam de Haas",2,0,3,0,0.525,5,0.121291512019989,3,0.6,0,1,0.75,0.75,5,0,0.0865800865800866,0.228571428571429,0,0.0736711203314611,0
"5",5,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,31,2,0,13,7,0,1,0,2,2,"2571 Rahmon  Fletcher",2,3,1,0,0.775,16.92,0.278047097102854,14,0.8274231678487,0.142857142857143,0.0714285714285714,0.5,0.46916890080429,19.92,0.323450134770889,0.0391006842619746,0.103225806451613,0,0.0166354142683944,0
"6",6,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,32,4,2,5,2,0,4,0,1,2,"2571 Bryquis  Perine",1,3,2,0,0.8,12.84,0.204406520631686,6,0.467289719626168,0.444444444444444,0.444444444444444,0.222222222222222,0.276752767527675,15.84,0.202702702702703,0.0189393939393939,0.05,0,0.0322311151450142,0
"7",7,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,36,4,4,7,1,2,5,0,1,0,"2571 Sjors  Besseling",0,1,0,0,0.9,13.84,0.195845361408275,12,0.867052023121387,0.333333333333333,0.416666666666667,0.333333333333333,0.433526011560694,14.84,0.0628930817610063,0.0168350168350168,0.0444444444444444,0,0,0
"8",8,591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",5.52,6.44,53,97,FALSE,TRUE,78.52,85.44,74.4487804878049,77.5648,76,FALSE,76.0067902439024,69.7368421052632,127.631578947368,-57.8947368421053,FALSE,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.6953125,0.32,0.197368421052632,0.125,0.595238095238095,0.320512820512821,0.0842490842490843,0.461538461538462,0.142857142857143,0.666666666666667,591087,2571,37,2,2,5,3,0,5,2,7,4,"2571 Joost  Padberg",4,3,3,1,0.925,14.92,0.205421927276232,8,0.536193029490617,0.2,0.5,0.3,0.366300366300366,17.92,0.182648401826484,0.147420147420147,0.302702702702703,0.05273566249176,0.041813338566505,0.02002002002002
"9",9,591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",6.44,5.52,97,53,TRUE,FALSE,85.44,78.52,77.5648,74.4487804878049,76,FALSE,76.0067902439024,127.631578947368,69.7368421052632,57.8947368421053,TRUE,0.6953125,0.32,0.197368421052632,0.125,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.766609880749574,0.141964792731403,0.0914253265190233,0.62962962962963,0.7,0.571428571428571,591087,8594,8,0,0,2,0,0,0,0,4,2,"8594 Michael  Kingma",0,1,1,0,0.2,4,0.234082397003745,0,0,0,0,0,0,5,0.121951219512195,0.303030303030303,0.48780487804878,0,0.0671602673306251,0
"10",10,591087,8594,2571,8594,14,8,54,34,7,10,8,37,15,200,"GasTerra Flames","GasTerra",591087,2571,2571,8594,12,8,39,18,3,21,4,17,13,200,"Basketball Stars Weert","Basketba",6.44,5.52,97,53,TRUE,FALSE,85.44,78.52,77.5648,74.4487804878049,76,FALSE,76.0067902439024,127.631578947368,69.7368421052632,57.8947368421053,TRUE,0.6953125,0.32,0.197368421052632,0.125,0.375,0.0975609756097561,0.171052631578947,0.133333333333333,0.766609880749574,0.141964792731403,0.0914253265190233,0.62962962962963,0.7,0.571428571428571,591087,8594,14,0,0,2,1,0,0,1,1,2,"8594 Yannick van de Ark",2,4,0,1,0.35,4,0.133761369716426,2,0.5,0,0,0.5,0.5,8,0.299625468164794,0.0865800865800866,0.0696864111498258,0.114285714285714,0,0.0732600732600733
