"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Home";"Nrtg";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"1";643327;8594;10757;8594;26;16;39;19;9;19;13;19;14;200;"GasTerra Flames";"GasTerra";643327;10757;10757;8594;10;6;29;13;10;22;8;17;18;200;"BC APOLLO A'dam";"BC APOLL";11,96;4,6;81;62;TRUE;FALSE;83,96;73,6;70,05;64,722962962963;67;TRUE;67,3864814814815;120,89552238806;92,5373134328358;TRUE;28,3582089552239;0,560344827586207;0,433333333333333;0,208955223880597;0,275862068965517;0,549019607843137;0,296296296296296;0,26865671641791;0,117647058823529;0,55746140651801;0,2715837621498;0,17095483133219;0,487179487179487;0,473684210526316;0,615384615384615
"2";643327;10757;10757;8594;10;6;29;13;10;22;8;17;18;200;"BC APOLLO A'dam";"BC APOLL";643327;8594;10757;8594;26;16;39;19;9;19;13;19;14;200;"GasTerra Flames";"GasTerra";4,6;11,96;62;81;FALSE;TRUE;73,6;83,96;64,722962962963;70,05;67;TRUE;67,3864814814815;92,5373134328358;120,89552238806;FALSE;-28,3582089552239;0,549019607843137;0,296296296296296;0,26865671641791;0,117647058823529;0,560344827586207;0,433333333333333;0,208955223880597;0,275862068965517;0,52158273381295;0,39568345323741;0,0827338129496403;0,448275862068966;0,454545454545455;0,6
"3";643328;8594;8594;10757;19;16;41;17;7;19;17;22;14;200;"GasTerra Flames";"GasTerra";643328;10757;8594;10757;16;9;26;14;7;22;9;25;16;200;"BC APOLLO A'dam";"BC APOLL";8,74;7,36;71;58;TRUE;FALSE;82,74;71,36;67,1485714285714;62,9725806451613;65;TRUE;65,0605760368664;109,230769230769;89,2307692307692;FALSE;20;0,458333333333333;0,404761904761905;0,215384615384615;0,266666666666667;0,510416666666667;0,290322580645161;0,246153846153846;0,1875;0,596450392784405;0,276403840558627;0,127145766656968;0,414634146341463;0,368421052631579;0,842105263157895
"4";643328;10757;8594;10757;16;9;26;14;7;22;9;25;16;200;"BC APOLLO A'dam";"BC APOLL";643328;8594;8594;10757;19;16;41;17;7;19;17;22;14;200;"GasTerra Flames";"GasTerra";7,36;8,74;58;71;FALSE;TRUE;71,36;82,74;62,9725806451613;67,1485714285714;65;TRUE;65,0605760368664;89,2307692307692;109,230769230769;TRUE;-20;0,510416666666667;0,290322580645161;0,246153846153846;0,1875;0,458333333333333;0,404761904761905;0,215384615384615;0,266666666666667;0,469653179190751;0,397398843930636;0,132947976878613;0,538461538461538;0,318181818181818;0,5625
"5";643329;3138;3138;11480;29;21;34;18;2;17;5;21;14;200;"BV Aris";"BV Aris";643329;11480;3138;11480;19;15;52;34;9;20;12;34;11;200;"Dukes Unlimited";"Dukes Un";13,34;8,74;63;110;FALSE;TRUE;78,34;91,74;74,0874358974359;80,4563636363636;77;TRUE;77,2718997668998;81,8181818181818;142,857142857143;FALSE;-61,038961038961;0,411764705882353;0,128205128205128;0,181818181818182;0,411764705882353;0,659722222222222;0,363636363636364;0,142857142857143;0,208333333333333;0,528442648430214;0,264221324215107;0,207336027354678;0,529411764705882;0,117647058823529;0,724137931034483
"6";643329;11480;3138;11480;19;15;52;34;9;20;12;34;11;200;"Dukes Unlimited";"Dukes Un";643329;3138;3138;11480;29;21;34;18;2;17;5;21;14;200;"BV Aris";"BV Aris";8,74;13,34;110;63;TRUE;FALSE;91,74;78,34;80,4563636363636;74,0874358974359;77;TRUE;77,2718997668998;142,857142857143;81,8181818181818;TRUE;61,038961038961;0,659722222222222;0,363636363636364;0,142857142857143;0,208333333333333;0,411764705882353;0,128205128205128;0,181818181818182;0,411764705882353;0,644042605895467;0,24770869457518;0,108248699529353;0,653846153846154;0,45;0,789473684210526
"7";643330;3138;11480;3138;23;16;37;20;8;24;7;26;14;200;"BV Aris";"BV Aris";643330;11480;11480;3138;32;23;48;22;7;18;11;32;9;200;"Dukes Unlimited";"Dukes Un";10,58;14,72;80;88;FALSE;TRUE;85,58;89,72;79,2423076923077;77,95;79;FALSE;78,5961538461538;101,26582278481;111,392405063291;TRUE;-10,126582278481;0,524590163934426;0,179487179487179;0,177215189873418;0,262295081967213;0,492424242424242;0,297297297297297;0,113924050632911;0,348484848484849;0,516904163174071;0,335289186923722;0,147806649902207;0,540540540540541;0,333333333333333;0,695652173913043
"8";643330;11480;11480;3138;32;23;48;22;7;18;11;32;9;200;"Dukes Unlimited";"Dukes Un";643330;3138;11480;3138;23;16;37;20;8;24;7;26;14;200;"BV Aris";"BV Aris";14,72;10,58;88;80;TRUE;FALSE;89,72;85,58;77,95;79,2423076923077;79;FALSE;78,5961538461538;111,392405063291;101,26582278481;FALSE;10,126582278481;0,492424242424242;0,297297297297297;0,113924050632911;0,348484848484849;0,524590163934426;0,179487179487179;0,177215189873418;0,262295081967213;0,594648166501487;0,222993062438057;0,182358771060456;0,458333333333333;0,388888888888889;0,71875
"9";643331;2393;2393;3520;28;18;33;16;5;19;11;20;12;200;"Matrixx Magixx";"Matrixx ";643331;3520;2393;3520;13;10;28;17;11;28;9;28;11;200;"Den Helder Kings Noordkop";"Den Held";12,88;5,98;65;77;FALSE;TRUE;76,88;72,98;67,524358974359;63,6820689655172;66;FALSE;65,6032139699381;98,4848484848485;116,666666666667;FALSE;-18,1818181818182;0,451923076923077;0,282051282051282;0,181818181818182;0,346153846153846;0,598214285714286;0,310344827586207;0,166666666666667;0,178571428571429;0,508631319358816;0,292848335388409;0,198520345252774;0,484848484848485;0,263157894736842;0,642857142857143
"10";643331;3520;2393;3520;13;10;28;17;11;28;9;28;11;200;"Den Helder Kings Noordkop";"Den Held";643331;2393;2393;3520;28;18;33;16;5;19;11;20;12;200;"Matrixx Magixx";"Matrixx ";5,98;12,88;77;65;TRUE;FALSE;72,98;76,88;63,6820689655172;67,524358974359;66;FALSE;65,6032139699381;116,666666666667;98,4848484848485;TRUE;18,1818181818182;0,598214285714286;0,310344827586207;0,166666666666667;0,178571428571429;0,451923076923077;0,282051282051282;0,181818181818182;0,346153846153846;0,451758631816715;0,451758631816715;0,0964827363665699;0,607142857142857;0,392857142857143;0,769230769230769
"11";643332;2393;3520;2393;28;16;40;17;6;21;18;26;13;200;"Matrixx Magixx";"Matrixx ";643332;3520;3520;2393;22;19;31;20;8;23;4;23;10;200;"Den Helder Kings Noordkop";"Den Held";12,88;10,12;68;83;FALSE;TRUE;86,88;74,12;69,0292682926829;70,4106666666667;70;FALSE;69,7199674796748;97,1428571428571;118,571428571429;TRUE;-21,4285714285714;0,426229508196721;0,439024390243902;0,185714285714286;0,262295081967213;0,592592592592593;0,133333333333333;0,142857142857143;0,351851851851852;0,541418516513265;0,284244721169464;0,174336762317271;0,425;0,285714285714286;0,571428571428571
"12";643332;3520;3520;2393;22;19;31;20;8;23;4;23;10;200;"Den Helder Kings Noordkop";"Den Held";643332;2393;3520;2393;28;16;40;17;6;21;18;26;13;200;"Matrixx Magixx";"Matrixx ";10,12;12,88;83;68;TRUE;FALSE;74,12;86,88;70,4106666666667;69,0292682926829;70;FALSE;69,7199674796748;118,571428571429;97,1428571428571;FALSE;21,4285714285714;0,592592592592593;0,133333333333333;0,142857142857143;0,351851851851852;0,426229508196721;0,439024390243902;0,185714285714286;0,262295081967213;0,483468496568933;0,358702432938241;0,157829070492826;0,645161290322581;0,347826086956522;0,863636363636364
"13";643333;1771;1771;3107;8;6;46;23;2;15;8;23;9;200;"Landstede Basketbal";"Landsted";643333;3107;1771;3107;19;15;42;19;8;19;10;26;7;200;"BS Leiden";"BS Leide";3,68;8,74;58;77;FALSE;TRUE;73,68;76,74;64,6164705882353;65,7157575757576;65;FALSE;65,1661140819964;89,2307692307692;118,461538461538;FALSE;-29,2307692307692;0,426229508196721;0,235294117647059;0,138461538461538;0,0983606557377049;0,508196721311475;0,303030303030303;0,107692307692308;0,245901639344262;0,711193568336425;0,23191094619666;0,056895485466914;0,5;0,133333333333333;0,75
"14";643333;3107;1771;3107;19;15;42;19;8;19;10;26;7;200;"BS Leiden";"BS Leide";643333;1771;1771;3107;8;6;46;23;2;15;8;23;9;200;"Landstede Basketbal";"Landsted";8,74;3,68;77;58;TRUE;FALSE;76,74;73,68;65,7157575757576;64,6164705882353;65;FALSE;65,1661140819964;118,461538461538;89,2307692307692;TRUE;29,2307692307692;0,508196721311475;0,303030303030303;0,107692307692308;0,245901639344262;0,426229508196721;0,235294117647059;0,138461538461538;0,0983606557377049;0,602236879839404;0,272440493260683;0,125322626899914;0,452380952380952;0,421052631578947;0,789473684210526
"15";643334;1771;3107;1771;14;9;44;18;4;17;15;33;12;200;"Landstede Basketbal";"Landsted";643334;3107;3107;1771;33;21;51;17;2;15;22;22;13;200;"BS Leiden";"BS Leide";6,44;15,18;57;61;FALSE;TRUE;79,44;94,18;62,5224324324324;74,064;68;TRUE;68,2932162162162;83,8235294117647;89,7058823529412;TRUE;-5,88235294117646;0,39344262295082;0,405405405405405;0,176470588235294;0,147540983606557;0,303030303030303;0,4;0,191176470588235;0,318181818181818;0,652431791221827;0,252075919335706;0,0954922894424674;0,409090909090909;0,235294117647059;0,642857142857143
"16";643334;3107;3107;1771;33;21;51;17;2;15;22;22;13;200;"BS Leiden";"BS Leide";643334;1771;3107;1771;14;9;44;18;4;17;15;33;12;200;"Landstede Basketbal";"Landsted";15,18;6,44;61;57;TRUE;FALSE;94,18;79,44;74,064;62,5224324324324;68;TRUE;68,2932162162162;89,7058823529412;83,8235294117647;FALSE;5,88235294117646;0,303030303030303;0,4;0,191176470588235;0,318181818181818;0,39344262295082;0,405405405405405;0,176470588235294;0,147540983606557;0,628233555062823;0,184774575018477;0,186991869918699;0,333333333333333;0,133333333333333;0,636363636363636
"17";643371;1771;1771;3107;14;9;44;18;4;17;11;29;12;200;"Landstede Basketbal";"Landsted";643371;3107;1771;3107;33;21;51;17;2;15;26;26;13;200;"BS Leiden";"BS Leide";6,44;15,18;57;61;FALSE;TRUE;79,44;94,18;67,0337837837838;70,4065454545455;69;FALSE;68,7201646191646;82,6086956521739;88,4057971014493;FALSE;-5,79710144927537;0,39344262295082;0,297297297297297;0,173913043478261;0,147540983606557;0,303030303030303;0,472727272727273;0,188405797101449;0,318181818181818;0,652431791221827;0,252075919335706;0,0954922894424674;0,409090909090909;0,235294117647059;0,642857142857143
"18";643371;3107;1771;3107;33;21;51;17;2;15;26;26;13;200;"BS Leiden";"BS Leide";643371;1771;1771;3107;14;9;44;18;4;17;11;29;12;200;"Landstede Basketbal";"Landsted";15,18;6,44;61;57;TRUE;FALSE;94,18;79,44;70,4065454545455;67,0337837837838;69;FALSE;68,7201646191646;88,4057971014493;82,6086956521739;TRUE;5,79710144927537;0,303030303030303;0,472727272727273;0,188405797101449;0,318181818181818;0,39344262295082;0,297297297297297;0,173913043478261;0,147540983606557;0,628233555062823;0,184774575018477;0,186991869918699;0,333333333333333;0,133333333333333;0,636363636363636
"19";643373;3520;3520;11480;20;18;37;18;8;18;11;15;10;200;"Den Helder Kings Noordkop";"Den Held";643373;11480;3520;11480;23;20;36;24;7;23;13;18;8;200;"Dukes Unlimited";"Dukes Un";9,2;10,58;78;89;FALSE;TRUE;74,2;77,58;62,43;63,67;63;FALSE;63,05;123,809523809524;141,269841269841;FALSE;-17,4603174603175;0,545454545454545;0,379310344827586;0,158730158730159;0,327272727272727;0,584745762711864;0,464285714285714;0,126984126984127;0,338983050847458;0,576323987538941;0,280373831775701;0,143302180685358;0,486486486486487;0,444444444444444;0,9
"20";643373;11480;3520;11480;23;20;36;24;7;23;13;18;8;200;"Dukes Unlimited";"Dukes Un";643373;3520;3520;11480;20;18;37;18;8;18;11;15;10;200;"Den Helder Kings Noordkop";"Den Held";10,58;9,2;89;78;TRUE;FALSE;77,58;74,2;63,67;62,43;63;FALSE;63,05;141,269841269841;123,809523809524;TRUE;17,4603174603175;0,584745762711864;0,464285714285714;0,126984126984127;0,338983050847458;0,545454545454545;0,379310344827586;0,158730158730159;0,327272727272727;0,517390054613395;0,330554757114113;0,152055188272492;0,666666666666667;0,304347826086957;0,869565217391304
"21";643374;3520;11480;3520;22;15;37;17;8;16;4;29;10;200;"Den Helder Kings Noordkop";"Den Held";643374;11480;11480;3520;10;7;40;22;10;25;7;27;8;200;"Dukes Unlimited";"Dukes Un";10,12;4,6;73;81;FALSE;TRUE;73,12;77,6;69,2541935483871;70,7341666666667;70;FALSE;69,9941801075269;104,285714285714;115,714285714286;TRUE;-11,4285714285714;0,547169811320755;0,129032258064516;0,142857142857143;0,283018867924528;0,569230769230769;0,194444444444444;0,114285714285714;0,107692307692308;0,586185044359949;0,253485424588086;0,160329531051965;0,459459459459459;0,5;0,681818181818182
"22";643374;11480;11480;3520;10;7;40;22;10;25;7;27;8;200;"Dukes Unlimited";"Dukes Un";643374;3520;11480;3520;22;15;37;17;8;16;4;29;10;200;"Den Helder Kings Noordkop";"Den Held";4,6;10,12;81;73;TRUE;FALSE;77,6;73,12;70,7341666666667;69,2541935483871;70;FALSE;69,9941801075269;115,714285714286;104,285714285714;FALSE;11,4285714285714;0,569230769230769;0,194444444444444;0,114285714285714;0,107692307692308;0,547169811320755;0,129032258064516;0,142857142857143;0,283018867924528;0,574712643678161;0,359195402298851;0,0660919540229885;0,55;0,4;0,7
"23";643375;3520;3520;11480;18;14;34;15;8;22;8;20;16;200;"Den Helder Kings Noordkop";"Den Held";643375;11480;3520;11480;21;19;31;20;10;24;5;29;10;200;"Dukes Unlimited";"Dukes Un";8,28;9,66;68;89;FALSE;TRUE;80,28;74,66;72,6454054054054;69,31;71;FALSE;70,9777027027027;95,7746478873239;125,352112676056;FALSE;-29,5774647887324;0,482142857142857;0,216216216216216;0,225352112676056;0,25;0,636363636363636;0,2;0,140845070422535;0,345454545454545;0,528935905413815;0,342252644679527;0,128811449906658;0,441176470588235;0,363636363636364;0,777777777777778
"24";643375;11480;3520;11480;21;19;31;20;10;24;5;29;10;200;"Dukes Unlimited";"Dukes Un";643375;3520;3520;11480;18;14;34;15;8;22;8;20;16;200;"Den Helder Kings Noordkop";"Den Held";9,66;8,28;89;68;TRUE;FALSE;74,66;80,28;69,31;72,6454054054054;71;FALSE;70,9777027027027;125,352112676056;95,7746478873239;TRUE;29,5774647887324;0,636363636363636;0,2;0,140845070422535;0,345454545454545;0,482142857142857;0,216216216216216;0,225352112676056;0,25;0,479430869161769;0,37117228580266;0,149396845035571;0,645161290322581;0,416666666666667;0,904761904761905
"25";643381;3107;3107;8594;17;11;40;19;8;15;9;29;17;200;"BS Leiden";"BS Leide";643381;8594;3107;8594;7;5;33;15;3;27;11;23;12;200;"GasTerra Flames";"GasTerra";7,82;3,22;73;44;TRUE;FALSE;79,82;75,22;71,39375;62,8615;67;TRUE;67,127625;108,955223880597;65,6716417910448;FALSE;43,2835820895522;0,563636363636364;0,28125;0,253731343283582;0,2;0,325;0,275;0,17910447761194;0,0833333333333333;0,636739891754218;0,238777459407832;0,12448264883795;0,475;0,533333333333333;0,647058823529412
"26";643381;8594;3107;8594;7;5;33;15;3;27;11;23;12;200;"GasTerra Flames";"GasTerra";643381;3107;3107;8594;17;11;40;19;8;15;9;29;17;200;"BS Leiden";"BS Leide";3,22;7,82;44;73;FALSE;TRUE;75,22;79,82;62,8615;71,39375;67;TRUE;67,127625;65,6716417910448;108,955223880597;TRUE;-43,2835820895522;0,325;0,275;0,17910447761194;0,0833333333333333;0,563636363636364;0,28125;0,253731343283582;0,2;0,521986713065486;0,42708003796267;0,0509332489718444;0,454545454545455;0,111111111111111;0,714285714285714
"27";643382;3107;8594;3107;23;14;36;18;4;18;8;29;21;225;"BS Leiden";"BS Leide";643382;8594;8594;3107;20;10;41;14;7;19;14;25;20;225;"GasTerra Flames";"GasTerra";10,58;9,2;62;59;TRUE;FALSE;85,58;89,2;77,2793939393939;75,613488372093;76;FALSE;67,9523921384387;81,5789473684211;77,6315789473684;TRUE;3,94736842105263;0,444444444444444;0,242424242424242;0,276315789473684;0,259259259259259;0,408333333333333;0,325581395348837;0,263157894736842;0,166666666666667;0,557448126354909;0,278724063177454;0,163827810467637;0,5;0,222222222222222;0,608695652173913
"28";643382;8594;8594;3107;20;10;41;14;7;19;14;25;20;225;"GasTerra Flames";"GasTerra";643382;3107;8594;3107;23;14;36;18;4;18;8;29;21;225;"BS Leiden";"BS Leide";9,2;10,58;59;62;FALSE;TRUE;89,2;85,58;75,613488372093;77,2793939393939;76;FALSE;67,9523921384387;77,6315789473684;81,5789473684211;FALSE;-3,94736842105263;0,408333333333333;0,325581395348837;0,263157894736842;0,166666666666667;0,444444444444444;0,242424242424242;0,276315789473684;0,259259259259259;0,592485549132948;0,274566473988439;0,132947976878613;0,341463414634146;0,368421052631579;0,5
"29";643383;3107;3107;8594;11;6;30;15;10;22;3;16;18;200;"BS Leiden";"BS Leide";643383;8594;3107;8594;26;23;36;15;7;22;21;29;13;200;"GasTerra Flames";"GasTerra";5,06;11,96;66;74;FALSE;TRUE;75,06;82,96;72,3515625;61,0972972972973;67;TRUE;66,7244298986487;98,5074626865672;110,44776119403;FALSE;-11,9402985074627;0,576923076923077;0,09375;0,26865671641791;0,115384615384615;0,439655172413793;0,567567567567568;0,194029850746269;0,396551724137931;0,525762355415352;0,385559060637925;0,0886785839467227;0,5;0,454545454545455;0,545454545454545
"30";643383;8594;3107;8594;26;23;36;15;7;22;21;29;13;200;"GasTerra Flames";"GasTerra";643383;3107;3107;8594;11;6;30;15;10;22;3;16;18;200;"BS Leiden";"BS Leide";11,96;5,06;74;66;TRUE;FALSE;82,96;75,06;61,0972972972973;72,3515625;67;TRUE;66,7244298986487;110,44776119403;98,5074626865672;TRUE;11,9402985074627;0,439655172413793;0,567567567567568;0,194029850746269;0,396551724137931;0,576923076923077;0,09375;0,26865671641791;0,115384615384615;0,514579759862779;0,314465408805031;0,17095483133219;0,416666666666667;0,318181818181818;0,884615384615385
"31";643404;3107;8594;3107;20;13;33;16;7;21;6;18;11;200;"BS Leiden";"BS Leide";643404;8594;8594;3107;24;16;33;16;8;19;11;26;9;200;"GasTerra Flames";"GasTerra";9,2;11,04;66;72;FALSE;TRUE;74,2;72,04;67,980625;60,6758620689655;64;TRUE;64,3282435344828;103,125;112,5;TRUE;-9,375;0,490740740740741;0,1875;0,171875;0,240740740740741;0,538461538461538;0,379310344827586;0,140625;0,307692307692308;0,522151898734177;0,332278481012658;0,145569620253165;0,484848484848485;0,333333333333333;0,65
"32";643404;8594;8594;3107;24;16;33;16;8;19;11;26;9;200;"GasTerra Flames";"GasTerra";643404;3107;8594;3107;20;13;33;16;7;21;6;18;11;200;"BS Leiden";"BS Leide";11,04;9,2;72;66;TRUE;FALSE;72,04;74,2;60,6758620689655;67,980625;64;TRUE;64,3282435344828;112,5;103,125;FALSE;9,375;0,538461538461538;0,379310344827586;0,140625;0,307692307692308;0,490740740740741;0,1875;0,171875;0,240740740740741;0,523477157360406;0,301395939086294;0,1751269035533;0,484848484848485;0,421052631578947;0,666666666666667
"33";643405;3107;3107;8594;32;25;32;14;3;17;8;27;16;200;"BS Leiden";"BS Leide";643405;8594;3107;8594;16;10;41;24;6;20;6;26;7;200;"GasTerra Flames";"GasTerra";14,72;7,36;62;76;FALSE;TRUE;79,72;75,36;71,6635294117647;69,3290909090909;70;FALSE;70,4963101604278;88,5714285714286;108,571428571429;FALSE;-20;0,377551020408163;0,235294117647059;0,228571428571429;0,510204081632653;0,540983606557377;0,181818181818182;0,1;0,163934426229508;0,502197112366604;0,266792215944758;0,231010671688638;0,4375;0,176470588235294;0,78125
"34";643405;8594;3107;8594;16;10;41;24;6;20;6;26;7;200;"GasTerra Flames";"GasTerra";643405;3107;3107;8594;32;25;32;14;3;17;8;27;16;200;"BS Leiden";"BS Leide";7,36;14,72;76;62;TRUE;FALSE;75,36;79,72;69,3290909090909;71,6635294117647;70;FALSE;70,4963101604278;108,571428571429;88,5714285714286;TRUE;20;0,540983606557377;0,181818181818182;0,1;0,163934426229508;0,377551020408163;0,235294117647059;0,228571428571429;0,510204081632653;0,599765944997074;0,292568753657109;0,107665301345816;0,585365853658537;0,3;0,625
"35";643416;8594;11480;8594;33;26;27;12;3;13;16;29;23;200;"GasTerra Flames";"GasTerra";643416;11480;11480;8594;9;6;41;11;8;20;14;21;14;200;"Dukes Unlimited";"Dukes Un";15,18;4,14;59;52;TRUE;FALSE;78,18;79,14;66,6124324324324;64,5083720930233;66;FALSE;65,5604022627278;89,3939393939394;78,7878787878788;TRUE;10,6060606060606;0,4125;0,432432432432432;0,348484848484849;0,65;0,377049180327869;0,325581395348837;0,212121212121212;0,0983606557377049;0,489307720188474;0,235592606016673;0,275099673794853;0,444444444444444;0,230769230769231;0,787878787878788
"36";643416;11480;11480;8594;9;6;41;11;8;20;14;21;14;200;"Dukes Unlimited";"Dukes Un";643416;8594;11480;8594;33;26;27;12;3;13;16;29;23;200;"GasTerra Flames";"GasTerra";4,14;15,18;52;59;FALSE;TRUE;79,14;78,18;64,5083720930233;66,6124324324324;66;FALSE;65,5604022627278;78,7878787878788;89,3939393939394;FALSE;-10,6060606060606;0,377049180327869;0,325581395348837;0,212121212121212;0,0983606557377049;0,4125;0,432432432432432;0,348484848484849;0,65;0,629413570770648;0,307031010132023;0,0635554190973288;0,268292682926829;0,4;0,666666666666667
"37";643417;8594;8594;11480;16;11;31;16;8;15;8;16;16;200;"GasTerra Flames";"GasTerra";643417;11480;8594;11480;24;18;32;19;7;21;11;19;13;200;"Dukes Unlimited";"Dukes Un";7,36;11,04;67;77;FALSE;TRUE;69,36;77,04;62,3851851851852;65,27;64;FALSE;63,8275925925926;104,6875;120,3125;FALSE;-15,625;0,608695652173913;0,296296296296296;0,25;0,239130434782609;0,556603773584906;0,407407407407407;0,203125;0,339622641509434;0,58095952023988;0,281109445277361;0,137931034482759;0,516129032258065;0,533333333333333;0,6875
