"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID.1","plg_ID.1","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"1",1,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,7,2,0,2,1,0,0,0,1,0,"3103 Michael  Kok",2,0,0,0,0.175,2.92,0.238708358880033,2,0.684931506849315,1,0,0.5,0.342465753424658,2.92,0,0.0852878464818763,0.178571428571429,0,0,0
"2",2,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,14,0,0,2,1,0,0,2,3,1,"3103 Seraino  Dalgliesh",2,0,0,0,0.35,3,0.122624156958921,2,0.666666666666667,0,0,0.5,0.5,3,0,0.213219616204691,0.267857142857143,0.163265306122449,0,0
"3",3,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,17,0,0,2,2,0,0,0,0,3,"3103 Bart  Stolk",2,0,1,1,0.425,5,0.168307666414205,4,0.8,0,0,1,1,5,0,0,0,0,0.0338977933860638,0.0759013282732448
"4",4,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,17,5,4,5,2,0,1,0,4,1,"3103 Robert  Krabbendam",1,1,0,0,0.425,9.3,0.313052259530422,8,0.860215053763441,0.833333333333333,0.166666666666667,0.333333333333333,0.481927710843373,10.3,0.176991150442478,0.140474100087796,0.294117647058824,0,0,0
"5",5,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,19,0,0,2,1,1,2,0,2,3,"3103 Hoessein  Adow",1,0,0,0,0.475,7,0.210827497929373,5,0.714285714285714,0,0.5,0.625,0.625,7,0,0.0628436763550668,0.131578947368421,0,0,0
"6",6,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,19,4,4,2,1,2,3,0,0,0,"3103 Yannick  Franke",0,0,0,0,0.475,6.84,0.206008583690987,12,1.75438596491228,0.8,0.6,0.8,0.87719298245614,6.84,0,0,0,0,0,0
"7",7,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,21,2,1,5,3,1,1,1,1,1,"3103 Richard  Maxwell",3,0,1,0,0.525,7.92,0.215818516247701,10,1.26262626262626,0.333333333333333,0.166666666666667,0.75,0.722543352601156,7.92,0,0.0568585643212509,0.0595238095238095,0.054421768707483,0.0274410708363374,0
"8",8,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,26,2,2,5,1,0,1,0,4,2,"3103 Ivan  Filipan",2,4,1,0,0.65,8.92,0.196324419500385,4,0.448430493273543,0.333333333333333,0.166666666666667,0.166666666666667,0.289017341040462,12.92,0.373831775700935,0.0918484500574053,0.192307692307692,0,0.0221639418293494,0
"9",9,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,29,0,0,6,1,0,2,0,2,1,"3103 Matthew  Otten",1,0,0,0,0.725,9,0.177593606630161,2,0.222222222222222,0,0.25,0.125,0.125,9,0,0.0411734431291817,0.0862068965517241,0,0,0
"10",10,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333,626456,3103,31,0,0,7,1,0,2,1,2,1,"3103 Cameron  Echols",2,1,3,1,0.775,10,0.184595505099451,2,0.2,0,0.222222222222222,0.111111111111111,0.111111111111111,11,0.0772200772200772,0.0577756379393356,0.0806451612903226,0.0368663594470046,0.055767337506105,0.0416233090530697
