"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Home","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"1",1,626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",6.9,8.28,51,87,FALSE,TRUE,69.9,80.28,65.9868571428571,69.4128125,68,FALSE,67.6998348214286,75,127.941176470588,FALSE,-52.9411764705882,0.4,0.114285714285714,0.191176470588235,0.22,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.667838312829526,0.210896309314587,0.121265377855888,0.368421052631579,0.333333333333333,0.733333333333333
"2",2,626456,3520,3103,3520,18,12,31,21,11,26,13,31,15,200,"Den Helder Kings Noordkop","Den Held",626456,3103,3103,3520,15,11,38,14,4,12,4,19,13,200,"Rotterdam Basketbal","Rotterda",8.28,6.9,87,51,TRUE,FALSE,80.28,69.9,69.4128125,65.9868571428571,68,FALSE,67.6998348214286,127.941176470588,75,TRUE,52.9411764705882,0.657894736842105,0.40625,0.220588235294118,0.210526315789474,0.4,0.114285714285714,0.191176470588235,0.22,0.474877450980392,0.39828431372549,0.126838235294118,0.67741935483871,0.423076923076923,0.666666666666667
"3",3,626458,1771,1771,8594,22,15,47,19,3,10,9,13,10,200,"Landstede Basketbal","Landsted",626458,8594,1771,8594,27,15,30,19,10,24,17,31,17,200,"GasTerra Flames","GasTerra",10.12,12.42,62,83,FALSE,TRUE,77.12,83.42,68.69375,68.2616666666667,68,FALSE,68.4777083333333,91.1764705882353,122.058823529412,FALSE,-30.8823529411765,0.412280701754386,0.225,0.147058823529412,0.263157894736842,0.62962962962963,0.566666666666667,0.25,0.277777777777778,0.700238379022646,0.148986889153754,0.1507747318236,0.404255319148936,0.3,0.681818181818182
"4",4,626458,8594,1771,8594,27,15,30,19,10,24,17,31,17,200,"GasTerra Flames","GasTerra",626458,1771,1771,8594,22,15,47,19,3,10,9,13,10,200,"Landstede Basketbal","Landsted",12.42,10.12,83,62,TRUE,FALSE,83.42,77.12,68.2616666666667,68.69375,68,FALSE,68.4777083333333,122.058823529412,91.1764705882353,TRUE,30.8823529411765,0.62962962962963,0.566666666666667,0.25,0.277777777777778,0.412280701754386,0.225,0.147058823529412,0.263157894736842,0.4516711833785,0.3613369467028,0.186991869918699,0.633333333333333,0.416666666666667,0.555555555555556
"5",5,626460,3103,3520,3103,13,8,49,25,6,17,21,24,15,200,"Rotterdam Basketbal","Rotterda",626460,3520,3520,3103,16,13,37,18,11,23,9,17,8,200,"Den Helder Kings Noordkop","Den Held",5.98,7.36,76,82,FALSE,TRUE,86.98,75.36,66.2839473684211,66.3136363636364,66,FALSE,66.2987918660287,115.151515151515,124.242424242424,TRUE,-9.09090909090909,0.515151515151515,0.552631578947368,0.227272727272727,0.121212121212121,0.575,0.272727272727273,0.121212121212121,0.216666666666667,0.680744651292026,0.236176715754376,0.0830786329535982,0.510204081632653,0.352941176470588,0.615384615384615
"6",6,626460,3520,3520,3103,16,13,37,18,11,23,9,17,8,200,"Den Helder Kings Noordkop","Den Held",626460,3103,3520,3103,13,8,49,25,6,17,21,24,15,200,"Rotterdam Basketbal","Rotterda",7.36,5.98,82,76,TRUE,FALSE,75.36,86.98,66.3136363636364,66.2839473684211,66,FALSE,66.2987918660287,124.242424242424,115.151515151515,FALSE,9.09090909090909,0.575,0.272727272727273,0.121212121212121,0.216666666666667,0.515151515151515,0.552631578947368,0.227272727272727,0.121212121212121,0.549287410926366,0.34144893111639,0.109263657957245,0.486486486486487,0.478260869565217,0.8125
"7",7,626461,3107,8594,3107,31,20,27,20,3,17,8,30,20,200,"BS Leiden","BS Leide",626461,8594,8594,3107,20,13,29,13,8,25,10,17,17,200,"GasTerra Flames","GasTerra",14.26,9.2,69,63,TRUE,FALSE,78.26,80.2,71.0696,71.3725,71,FALSE,71.22105,97.1830985915493,88.7323943661972,TRUE,8.45070422535211,0.556818181818182,0.32,0.28169014084507,0.454545454545455,0.462962962962963,0.25,0.23943661971831,0.240740740740741,0.463439752832132,0.291795399931342,0.244764847236526,0.740740740740741,0.176470588235294,0.645161290322581
"8",8,626461,8594,8594,3107,20,13,29,13,8,25,10,17,17,200,"GasTerra Flames","GasTerra",626461,3107,8594,3107,31,20,27,20,3,17,8,30,20,200,"BS Leiden","BS Leide",9.2,14.26,63,69,FALSE,TRUE,80.2,78.26,71.3725,71.0696,71,FALSE,71.22105,88.7323943661972,97.1830985915493,FALSE,-8.45070422535211,0.462962962962963,0.25,0.23943661971831,0.240740740740741,0.556818181818182,0.32,0.28169014084507,0.454545454545455,0.458860759493671,0.395569620253165,0.145569620253165,0.448275862068966,0.32,0.65
"9",9,626462,1771,1771,2393,21,16,43,25,3,15,8,25,11,200,"Landstede Basketbal","Landsted",626462,2393,1771,2393,18,10,28,17,8,27,10,23,18,200,"Matrixx Magixx","Matrixx ",9.66,8.28,75,68,TRUE,FALSE,78.66,81.28,70.3761290322581,72.1085714285714,71,FALSE,71.2423502304147,105.633802816901,95.7746478873239,FALSE,9.85915492957747,0.508620689655172,0.258064516129032,0.154929577464789,0.275862068965517,0.527272727272727,0.285714285714286,0.253521126760563,0.181818181818182,0.635530594147207,0.22169671888856,0.142772686964233,0.581395348837209,0.2,0.761904761904762
"10",10,626462,2393,1771,2393,18,10,28,17,8,27,10,23,18,200,"Matrixx Magixx","Matrixx ",626462,1771,1771,2393,21,16,43,25,3,15,8,25,11,200,"Landstede Basketbal","Landsted",8.28,9.66,68,75,FALSE,TRUE,81.28,78.66,72.1085714285714,70.3761290322581,71,FALSE,71.2423502304147,95.7746478873239,105.633802816901,TRUE,-9.85915492957747,0.527272727272727,0.285714285714286,0.253521126760563,0.181818181818182,0.508620689655172,0.258064516129032,0.154929577464789,0.275862068965517,0.442477876106195,0.426675094816688,0.130847029077118,0.607142857142857,0.296296296296296,0.555555555555556
