"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct"
"1",1,736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",7.36,5.52,89,76,TRUE,FALSE,76.36,75.52,65.125,69.3377777777778,67,TRUE,67.2313888888889,132.835820895522,113.432835820896,19.4029850746269,TRUE,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.55239898989899,0.331439393939394,0.116161616161616,0.771428571428571,0.380952380952381,0.6875
"2",2,736132,10757,10757,1771,12,3,31,20,11,26,6,9,13,200,"BC APOLLO Amsterdam","BC APOLL",736132,1771,10757,1771,16,11,35,27,8,21,9,21,13,200,"Landstede Basketbal","Landsted",5.52,7.36,76,89,FALSE,TRUE,75.52,76.36,69.3377777777778,65.125,67,TRUE,67.2313888888889,113.432835820896,132.835820895522,-19.4029850746269,FALSE,0.640350877192982,0.222222222222222,0.194029850746269,0.0526315789473684,0.696428571428571,0.5,0.194029850746269,0.196428571428571,0.495841330774152,0.415866922584773,0.0882917466410749,0.645161290322581,0.423076923076923,0.25
"3",3,736133,2571,2571,3808,25,18,43,24,11,31,15,29,15,250,"Basketball Stars Weert","Basketba",736133,3808,2571,3808,28,16,46,27,10,30,14,26,8,250,"BV Leeuwarden","BV Leeuw",11.5,12.88,99,100,FALSE,TRUE,100.5,96.88,85.2329268292683,83.293488372093,84,FALSE,67.4105660805445,117.857142857143,119.047619047619,-1.19047619047619,FALSE,0.547297297297297,0.365853658536585,0.178571428571429,0.243243243243243,0.552631578947368,0.325581395348837,0.0952380952380952,0.210526315789474,0.502923976608187,0.362573099415205,0.134502923976608,0.558139534883721,0.354838709677419,0.72
"4",4,736133,3808,2571,3808,28,16,46,27,10,30,14,26,8,250,"BV Leeuwarden","BV Leeuw",736133,2571,2571,3808,25,18,43,24,11,31,15,29,15,250,"Basketball Stars Weert","Basketba",12.88,11.5,100,99,TRUE,FALSE,96.88,100.5,83.293488372093,85.2329268292683,84,FALSE,67.4105660805445,119.047619047619,117.857142857143,1.19047619047619,TRUE,0.552631578947368,0.325581395348837,0.0952380952380952,0.210526315789474,0.547297297297297,0.365853658536585,0.178571428571429,0.243243243243243,0.517551755175518,0.337533753375338,0.144914491449145,0.58695652173913,0.333333333333333,0.571428571428571
"5",5,736134,3103,3107,3103,19,14,39,14,4,19,13,34,20,200,"Rotterdam Basketbal","Rotterda",736134,3107,3107,3103,17,11,34,18,9,28,8,29,16,200,"BS Leiden","BS Leide",8.74,7.82,54,74,FALSE,TRUE,86.74,85.82,73.492380952381,78.6866666666667,76,TRUE,76.0895238095238,71.0526315789474,97.3684210526316,-26.3157894736842,TRUE,0.344827586206897,0.30952380952381,0.263157894736842,0.241379310344828,0.508064516129032,0.19047619047619,0.210526315789474,0.17741935483871,0.584357207072221,0.284686844471082,0.130955948456698,0.358974358974359,0.210526315789474,0.736842105263158
"6",6,736134,3107,3107,3103,17,11,34,18,9,28,8,29,16,200,"BS Leiden","BS Leide",736134,3103,3107,3103,19,14,39,14,4,19,13,34,20,200,"Rotterdam Basketbal","Rotterda",7.82,8.74,74,54,TRUE,FALSE,85.82,86.74,78.6866666666667,73.492380952381,76,TRUE,76.0895238095238,97.3684210526316,71.0526315789474,26.3157894736842,FALSE,0.508064516129032,0.19047619047619,0.210526315789474,0.17741935483871,0.344827586206897,0.30952380952381,0.263157894736842,0.241379310344828,0.48696648524778,0.401031223145231,0.112002291606989,0.529411764705882,0.321428571428571,0.647058823529412
"7",7,736135,8594,8594,11480,6,4,39,24,7,18,7,28,12,200,"Donar","Donar",736135,11480,8594,11480,17,12,37,14,4,20,10,22,8,200,"New Heroes","New Hero",2.76,7.82,73,52,TRUE,FALSE,71.76,72.82,65.0448275862069,61.8384210526316,63,FALSE,63.4416243194192,115.873015873016,82.5396825396825,33.3333333333333,FALSE,0.605263157894737,0.241379310344828,0.19047619047619,0.0701754385964912,0.350877192982456,0.263157894736842,0.126984126984127,0.210526315789474,0.652610441767068,0.301204819277108,0.0461847389558233,0.615384615384615,0.388888888888889,0.666666666666667
"8",8,736135,11480,8594,11480,17,12,37,14,4,20,10,22,8,200,"New Heroes","New Hero",736135,8594,8594,11480,6,4,39,24,7,18,7,28,12,200,"Donar","Donar",7.82,2.76,52,73,FALSE,TRUE,72.82,71.76,61.8384210526316,65.0448275862069,63,FALSE,63.4416243194192,82.5396825396825,115.873015873016,-33.3333333333333,TRUE,0.350877192982456,0.263157894736842,0.126984126984127,0.210526315789474,0.605263157894737,0.241379310344828,0.19047619047619,0.0701754385964912,0.570811477938908,0.308546744831842,0.12064177722925,0.378378378378378,0.2,0.705882352941177
"9",9,736136,8594,8594,10757,27,23,42,22,10,25,11,31,9,200,"Donar","Donar",736136,10757,8594,10757,13,8,27,15,9,30,5,20,15,200,"BC APOLLO Amsterdam","BC APOLL",12.42,5.98,97,65,TRUE,FALSE,88.42,77.98,75.1312903225806,73.0758333333333,74,FALSE,74.103561827957,131.081081081081,87.8378378378378,43.2432432432433,FALSE,0.552238805970149,0.354838709677419,0.121621621621622,0.343283582089552,0.5,0.138888888888889,0.202702702702703,0.140350877192982,0.528834046839587,0.314782170737849,0.156383782422564,0.523809523809524,0.4,0.851851851851852
"10",10,736136,10757,8594,10757,13,8,27,15,9,30,5,20,15,200,"BC APOLLO Amsterdam","BC APOLL",736136,8594,8594,10757,27,23,42,22,10,25,11,31,9,200,"Donar","Donar",5.98,12.42,65,97,FALSE,TRUE,77.98,88.42,73.0758333333333,75.1312903225806,74,FALSE,74.103561827957,87.8378378378378,131.081081081081,-43.2432432432433,TRUE,0.5,0.138888888888889,0.202702702702703,0.140350877192982,0.552238805970149,0.354838709677419,0.121621621621622,0.343283582089552,0.428707526198793,0.476341695776437,0.0949507780247698,0.555555555555556,0.3,0.615384615384615
"11",11,736137,3103,11480,3103,14,10,25,17,10,29,12,32,18,200,"Rotterdam Basketbal","Rotterda",736137,11480,11480,3103,23,11,39,24,4,22,12,17,12,200,"New Heroes","New Hero",6.44,10.58,74,71,TRUE,FALSE,78.44,83.58,66.4855172413793,73.95,70,TRUE,70.2177586206897,105.714285714286,101.428571428571,4.28571428571428,TRUE,0.592592592592593,0.413793103448276,0.257142857142857,0.185185185185185,0.491803278688525,0.272727272727273,0.171428571428571,0.180327868852459,0.413633355393779,0.479814692256784,0.106551952349437,0.68,0.344827586206897,0.714285714285714
"12",12,736137,11480,11480,3103,23,11,39,24,4,22,12,17,12,200,"New Heroes","New Hero",736137,3103,11480,3103,14,10,25,17,10,29,12,32,18,200,"Rotterdam Basketbal","Rotterda",10.58,6.44,71,74,FALSE,TRUE,83.58,78.44,73.95,66.4855172413793,70,TRUE,70.2177586206897,101.428571428571,105.714285714286,-4.28571428571428,FALSE,0.491803278688525,0.272727272727273,0.171428571428571,0.180327868852459,0.592592592592593,0.413793103448276,0.257142857142857,0.185185185185185,0.544844928751048,0.307348421346745,0.147806649902207,0.615384615384615,0.181818181818182,0.478260869565217
"13",13,736138,2571,2571,3107,5,4,41,20,3,22,13,25,21,200,"Basketball Stars Weert","Basketba",736138,3107,2571,3107,23,13,41,18,5,23,17,26,10,200,"BS Leiden","BS Leide",2.3,10.58,53,64,FALSE,TRUE,86.3,84.58,72.0333333333333,66.8230952380952,69,TRUE,69.4282142857143,76.8115942028985,92.7536231884058,-15.9420289855072,FALSE,0.388888888888889,0.333333333333333,0.304347826086957,0.0634920634920635,0.3984375,0.404761904761905,0.144927536231884,0.203125,0.627871362940276,0.336906584992343,0.0352220520673813,0.48780487804878,0.136363636363636,0.8
"14",14,736138,3107,2571,3107,23,13,41,18,5,23,17,26,10,200,"BS Leiden","BS Leide",736138,2571,2571,3107,5,4,41,20,3,22,13,25,21,200,"Basketball Stars Weert","Basketba",10.58,2.3,64,53,TRUE,FALSE,84.58,86.3,66.8230952380952,72.0333333333333,69,TRUE,69.4282142857143,92.7536231884058,76.8115942028985,15.9420289855072,TRUE,0.3984375,0.404761904761905,0.144927536231884,0.203125,0.388888888888889,0.333333333333333,0.304347826086957,0.0634920634920635,0.549745240010727,0.30839367122553,0.141861088763744,0.439024390243902,0.217391304347826,0.565217391304348
"15",15,736139,1771,3808,1771,3,3,50,27,6,17,11,31,13,200,"Landstede Basketbal","Landsted",736139,3808,3808,1771,18,8,28,14,6,27,7,17,11,200,"BV Leeuwarden","BV Leeuw",1.38,8.28,75,54,TRUE,FALSE,81.38,74.28,67.0878571428571,67.3813157894737,67,FALSE,67.2345864661654,111.940298507463,80.5970149253731,31.3432835820896,TRUE,0.537313432835821,0.392857142857143,0.194029850746269,0.0447761194029851,0.418181818181818,0.184210526315789,0.164179104477612,0.145454545454545,0.731207955542556,0.248610704884469,0.0201813395729746,0.54,0.352941176470588,1
"16",16,736139,3808,3808,1771,18,8,28,14,6,27,7,17,11,200,"BV Leeuwarden","BV Leeuw",736139,1771,3808,1771,3,3,50,27,6,17,11,31,13,200,"Landstede Basketbal","Landsted",8.28,1.38,54,75,FALSE,TRUE,74.28,81.38,67.3813157894737,67.0878571428571,67,FALSE,67.2345864661654,80.5970149253731,111.940298507463,-31.3432835820896,FALSE,0.418181818181818,0.184210526315789,0.164179104477612,0.145454545454545,0.537313432835821,0.392857142857143,0.194029850746269,0.0447761194029851,0.442477876106195,0.426675094816688,0.130847029077118,0.5,0.222222222222222,0.444444444444444
"17",17,736140,3103,10757,3103,13,6,44,20,12,29,13,30,14,200,"Rotterdam Basketbal","Rotterda",736140,10757,10757,3103,12,7,45,26,6,23,7,29,16,200,"BC APOLLO Amsterdam","BC APOLL",5.98,5.52,82,77,TRUE,FALSE,92.98,89.52,79.4011904761905,82.2324324324324,81,FALSE,80.8168114543114,101.234567901235,95.0617283950617,6.17283950617283,TRUE,0.520547945205479,0.30952380952381,0.172839506172839,0.0821917808219178,0.514705882352941,0.189189189189189,0.197530864197531,0.102941176470588,0.557103064066852,0.367181564953153,0.0757153709799949,0.454545454545455,0.413793103448276,0.461538461538462
"18",18,736140,10757,10757,3103,12,7,45,26,6,23,7,29,16,200,"BC APOLLO Amsterdam","BC APOLL",736140,3103,10757,3103,13,6,44,20,12,29,13,30,14,200,"Rotterdam Basketbal","Rotterda",5.52,5.98,77,82,FALSE,TRUE,89.52,92.98,82.2324324324324,79.4011904761905,81,FALSE,80.8168114543114,95.0617283950617,101.234567901235,-6.17283950617283,FALSE,0.514705882352941,0.189189189189189,0.197530864197531,0.102941176470588,0.520547945205479,0.30952380952381,0.172839506172839,0.0821917808219178,0.612078346028292,0.312840043525571,0.0750816104461371,0.577777777777778,0.260869565217391,0.583333333333333
"19",19,736141,2571,8594,2571,24,20,27,12,8,28,9,23,17,200,"Basketball Stars Weert","Basketba",736141,8594,8594,2571,25,11,50,28,5,14,12,24,17,200,"Donar","Donar",11.04,11.5,68,82,FALSE,TRUE,83.04,92.5,72.8263636363636,81.1274285714286,77,TRUE,76.9768961038961,88.3116883116883,106.493506493506,-18.1818181818182,TRUE,0.436363636363636,0.272727272727273,0.220779220779221,0.363636363636364,0.5546875,0.342857142857143,0.220779220779221,0.171875,0.408843125378558,0.423985463355542,0.167171411265899,0.444444444444444,0.285714285714286,0.833333333333333
"20",20,736141,8594,8594,2571,25,11,50,28,5,14,12,24,17,200,"Donar","Donar",736141,2571,8594,2571,24,20,27,12,8,28,9,23,17,200,"Basketball Stars Weert","Basketba",11.5,11.04,82,68,TRUE,FALSE,92.5,83.04,81.1274285714286,72.8263636363636,77,TRUE,76.9768961038961,106.493506493506,88.3116883116883,18.1818181818182,FALSE,0.5546875,0.342857142857143,0.220779220779221,0.171875,0.436363636363636,0.272727272727273,0.220779220779221,0.363636363636364,0.662251655629139,0.185430463576159,0.152317880794702,0.56,0.357142857142857,0.44
"21",21,736142,1771,1771,11480,15,11,37,23,5,15,7,23,18,200,"Landstede Basketbal","Landsted",736142,11480,1771,11480,18,11,33,17,8,20,8,18,17,200,"New Heroes","New Hero",6.9,8.28,72,69,TRUE,FALSE,76.9,78.28,69.7096,70.5483870967742,70,FALSE,70.1289935483871,102.857142857143,98.5714285714286,4.28571428571429,FALSE,0.586538461538462,0.28,0.257142857142857,0.211538461538462,0.547169811320755,0.258064516129032,0.242857142857143,0.207547169811321,0.628183361629881,0.254668930390492,0.117147707979626,0.621621621621622,0.333333333333333,0.733333333333333
"22",22,736142,11480,1771,11480,18,11,33,17,8,20,8,18,17,200,"New Heroes","New Hero",736142,1771,1771,11480,15,11,37,23,5,15,7,23,18,200,"Landstede Basketbal","Landsted",8.28,6.9,69,72,FALSE,TRUE,78.28,76.9,70.5483870967742,69.7096,70,FALSE,70.1289935483871,98.5714285714286,102.857142857143,-4.28571428571429,TRUE,0.547169811320755,0.258064516129032,0.242857142857143,0.207547169811321,0.586538461538462,0.28,0.257142857142857,0.211538461538462,0.538511749347258,0.326370757180157,0.135117493472585,0.515151515151515,0.4,0.611111111111111
"23",23,736143,3107,3107,3808,14,7,41,17,7,24,15,28,14,200,"BS Leiden","BS Leide",736143,3808,3107,3808,14,11,31,14,7,28,13,32,14,200,"BV Leeuwarden","BV Leeuw",6.44,6.44,62,60,TRUE,FALSE,85.44,79.44,71.4389361702128,66.5478048780488,69,TRUE,68.9933705241308,89.8550724637681,86.9565217391304,2.89855072463767,FALSE,0.423076923076923,0.319148936170213,0.202898550724638,0.107692307692308,0.415254237288136,0.317073170731707,0.202898550724638,0.186440677966102,0.573908174692049,0.335946248600224,0.0901455767077268,0.414634146341463,0.291666666666667,0.5
"24",24,736143,3808,3107,3808,14,11,31,14,7,28,13,32,14,200,"BV Leeuwarden","BV Leeuw",736143,3107,3107,3808,14,7,41,17,7,24,15,28,14,200,"BS Leiden","BS Leide",6.44,6.44,60,62,FALSE,TRUE,79.44,85.44,66.5478048780488,71.4389361702128,69,TRUE,68.9933705241308,86.9565217391304,89.8550724637681,-2.89855072463767,TRUE,0.415254237288136,0.317073170731707,0.202898550724638,0.186440677966102,0.423076923076923,0.319148936170213,0.202898550724638,0.107692307692308,0.473716381418093,0.427872860635697,0.0984107579462103,0.451612903225806,0.25,0.785714285714286
"25",25,736144,2571,2571,10757,12,5,32,15,16,39,12,17,23,200,"Basketball Stars Weert","Basketba",736144,10757,2571,10757,35,21,37,22,10,26,12,26,19,200,"BC APOLLO Amsterdam","BC APOLL",5.52,16.1,83,95,FALSE,TRUE,99.52,98.1,86.0042105263158,84.3744827586207,85,FALSE,85.1893466424682,97.6470588235294,111.764705882353,-14.1176470588235,FALSE,0.549295774647887,0.315789473684211,0.270588235294118,0.0704225352112676,0.587301587301587,0.413793103448276,0.223529411764706,0.333333333333333,0.418191322530058,0.509670674333508,0.0721380031364349,0.46875,0.41025641025641,0.416666666666667
"26",26,736144,10757,2571,10757,35,21,37,22,10,26,12,26,19,200,"BC APOLLO Amsterdam","BC APOLL",736144,2571,2571,10757,12,5,32,15,16,39,12,17,23,200,"Basketball Stars Weert","Basketba",16.1,5.52,95,83,TRUE,FALSE,98.1,99.52,84.3744827586207,86.0042105263158,85,FALSE,85.1893466424682,111.764705882353,97.6470588235294,14.1176470588235,TRUE,0.587301587301587,0.413793103448276,0.223529411764706,0.333333333333333,0.549295774647887,0.315789473684211,0.270588235294118,0.0704225352112676,0.467762326169406,0.328697850821745,0.20353982300885,0.594594594594595,0.384615384615385,0.6
"27",27,736145,1771,3103,1771,20,14,41,22,4,15,9,38,15,200,"Landstede Basketbal","Landsted",736145,3103,3103,1771,17,11,31,14,9,33,3,22,10,200,"Rotterdam Basketbal","Rotterda",9.2,7.82,70,66,TRUE,FALSE,80.2,81.82,70.8806451612903,78.61,75,TRUE,74.7453225806452,93.3333333333333,88,5.33333333333333,TRUE,0.5,0.290322580645161,0.2,0.25,0.4296875,0.0731707317073171,0.133333333333333,0.171875,0.628834355828221,0.230061349693252,0.141104294478528,0.536585365853659,0.266666666666667,0.7
