"","X","wed_ID","plg_ID","wed_UitPloeg","wed_ThuisPloeg","FTA","FTM","FG2A","FG2M","FG3M","FG3A","OR","DR","TO","Minuten","plg_Name","plg_ShortName","opp_wed_ID","opp_plg_ID","opp_wed_UitPloeg","opp_wed_ThuisPloeg","opp_FTA","opp_FTM","opp_FG2A","opp_FG2M","opp_FG3M","opp_FG3A","opp_OR","opp_DR","opp_TO","opp_Minuten","opp_plg_Name","opp_plg_ShortName","FTtrips","opp_FTtrips","pts","opp_pts","Win","Loss","plays","opp_plays","ps","opp_ps","avgps","WARNING","pace","Ortg","Drtg","Nrtg","Home","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f","FG2Apct","FG3Apct","FTTpct","FG2pct","FG3pct","FTpct","wed_ID..64","plg_ID..65","spl_Minuten","spl_FTA","spl_FTM","spl_FG2A","spl_FG2M","spl_FG3M","spl_FG3A","spl_OR","spl_DR","spl_TO","spl_ID","spl_PF","spl_Ast","spl_Stl","spl_Blk","spl_MinutesRatio","spl_Plays","spl_USGpct","spl_PTS","spl_PPP","spl_FTperFG","spl_FG3AperFG","spl_EFGpct","spl_TSpct","spl_Finishes","spl_Astpct","spl_TRpct","spl_DRpct","spl_ORpct","spl_Stlpct","spl_Blkpct"
"1",1,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,12,0,0,0,0,1,1,0,1,1,"3103 Emanuele  Montaguti",0,2,1,0,0.3,2,0.0773215804531045,3,1.5,0,1,1.5,1.5,4,0.338983050847458,0.0378787878787879,0.0833333333333333,0,0.0448088900837926,0
"2",2,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,17,0,0,2,1,0,5,0,1,0,"3103 Coen  Stolk",0,2,1,0,0.425,7,0.191029787001788,2,0.285714285714286,0,0.714285714285714,0.142857142857143,0.142857142857143,9,0.227920227920228,0.0267379679144385,0.0588235294117647,0,0.0316298047650301,0
"3",3,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,20,0,0,9,3,0,2,3,4,3,"3103 Jeroen van de List",5,0,0,0,0.5,14,0.324750637903039,6,0.428571428571429,0,0.181818181818182,0.272727272727273,0.272727272727273,14,0,0.159090909090909,0.2,0.125,0,0
"4",4,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,23,0,0,6,4,0,0,4,4,1,"3103 Robert  Krabbendam",3,3,1,0,0.575,7,0.14119592952306,8,1.14285714285714,0,0,0.666666666666667,0.666666666666667,10,0.32520325203252,0.158102766798419,0.173913043478261,0.144927536231884,0.0233785513480657,0
"5",5,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,28,0,0,1,0,1,6,2,1,1,"3103 Rens van Ravensteijn",1,1,1,0,0.7,8,0.132551280776751,3,0.375,0,0.857142857142857,0.214285714285714,0.214285714285714,9,0.0662251655629139,0.0487012987012987,0.0357142857142857,0.0595238095238095,0.0192038100359111,0
"6",6,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,32,3,1,14,6,0,3,1,10,6,"3103 Justin  Gordon",3,0,4,1,0.8,24.38,0.353456274646254,13,0.533223954060706,0.176470588235294,0.176470588235294,0.352941176470588,0.353645266594124,24.38,0,0.15625,0.3125,0.0260416666666667,0.0672133351256889,0.0277777777777778
"7",7,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,34,0,0,1,0,3,7,0,3,2,"3103 Ties  Theeuwkens",1,1,0,0,0.85,10,0.13644984785842,9,0.9,0,0.875,0.5625,0.5625,11,0.0604229607250755,0.0401069518716578,0.0882352941176471,0,0,0
"8",8,804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",3.22,6.44,57,86,FALSE,TRUE,86.22,90.44,76.18875,74.39,75,FALSE,75.289375,76,114.666666666667,-38.6666666666667,FALSE,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.506944444444444,0.375,0.16,0.180555555555556,0.5616399887672,0.39314799213704,0.0452120190957596,0.425,0.214285714285714,0.714285714285714,804643,3103,34,4,4,7,3,1,4,0,1,1,"3103 LaShard  Anderson",2,2,0,0,0.85,13.84,0.188846589436053,13,0.939306358381503,0.363636363636364,0.363636363636364,0.409090909090909,0.506230529595016,15.84,0.128617363344051,0.0133689839572193,0.0294117647058824,0,0,0
"9",9,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,4,0,0,2,0,0,1,0,0,2,"11480 Devon Van Oostrum",1,0,0,0,0.1,5,0.552852720035383,0,0,0,0.333333333333333,0,0,5,0,0,0,0,0,0
"10",10,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,6,0,0,3,2,0,1,2,1,1,"11480 Norbert  Thelissen",0,1,0,0,0.15,5,0.368568480023588,4,0.8,0,0.25,0.5,0.5,6,0.357142857142857,0.227272727272727,0.138888888888889,0.333333333333333,0,0
"11",11,804643,11480,3103,11480,14,13,45,23,9,27,15,38,12,200,"Dukes Unlimited","Dukes Un",804643,3103,3103,11480,7,5,40,17,6,28,10,25,15,200,"Rotterdam Basketbal","Rotterda",6.44,3.22,86,57,TRUE,FALSE,90.44,86.22,74.39,76.18875,75,FALSE,75.289375,114.666666666667,76,38.6666666666667,TRUE,0.506944444444444,0.375,0.16,0.180555555555556,0.382352941176471,0.208333333333333,0.2,0.0735294117647059,0.573686894441611,0.344212136664967,0.0821009688934217,0.511111111111111,0.333333333333333,0.928571428571429,804643,11480,10,0,0,0,0,0,3,1,2,0,"11480 Stan van den Elzen",0,2,1,0,0.25,3,0.132684652808492,0,0,0,1,0,0,5,0.25,0.136363636363636,0.166666666666667,0.1,0.0525011894800742,0
