"";"wed_ID";"plg_ID";"wed_UitPloeg";"wed_ThuisPloeg";"FTA";"FTM";"FG2A";"FG2M";"FG3M";"FG3A";"OR";"DR";"TO";"Minuten";"plg_Name";"plg_ShortName";"opp_wed_ID";"opp_plg_ID";"opp_wed_UitPloeg";"opp_wed_ThuisPloeg";"opp_FTA";"opp_FTM";"opp_FG2A";"opp_FG2M";"opp_FG3M";"opp_FG3A";"opp_OR";"opp_DR";"opp_TO";"opp_Minuten";"opp_plg_Name";"opp_plg_ShortName";"FTtrips";"opp_FTtrips";"pts";"opp_pts";"Win";"Loss";"plays";"opp_plays";"ps";"opp_ps";"avgps";"WARNING";"pace";"Ortg";"Drtg";"Nrtg";"Home";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f";"FG2Apct";"FG3Apct";"FTTpct";"FG2pct";"FG3pct";"FTpct"
"1";804643;3103;3103;11480;7;5;40;17;6;28;10;25;15;200;"Rotterdam Basketbal";"Rotterda";804643;11480;3103;11480;14;13;45;23;9;27;15;38;12;200;"Dukes Unlimited";"Dukes Un";3,22;6,44;57;86;FALSE;TRUE;86,22;90,44;76,18875;74,39;75;FALSE;75,289375;76;114,666666666667;-38,6666666666667;FALSE;0,382352941176471;0,208333333333333;0,2;0,0735294117647059;0,506944444444444;0,375;0,16;0,180555555555556;0,5616399887672;0,39314799213704;0,0452120190957596;0,425;0,214285714285714;0,714285714285714
"2";804643;11480;3103;11480;14;13;45;23;9;27;15;38;12;200;"Dukes Unlimited";"Dukes Un";804643;3103;3103;11480;7;5;40;17;6;28;10;25;15;200;"Rotterdam Basketbal";"Rotterda";6,44;3,22;86;57;TRUE;FALSE;90,44;86,22;74,39;76,18875;75;FALSE;75,289375;114,666666666667;76;38,6666666666667;TRUE;0,506944444444444;0,375;0,16;0,180555555555556;0,382352941176471;0,208333333333333;0,2;0,0735294117647059;0,573686894441611;0,344212136664967;0,0821009688934217;0,511111111111111;0,333333333333333;0,928571428571429
"3";804644;8594;11993;8594;12;10;39;28;8;25;10;27;10;200;"Donar Groningen";"Donar Gr";804644;11993;11993;8594;6;3;27;13;8;24;4;16;20;200;"Basketbal Academie Limburg";"Basketba";5,52;2,76;90;53;TRUE;FALSE;79,52;73,76;67,9969230769231;69,618064516129;69;FALSE;68,807493796526;130,434782608696;76,8115942028985;53,6231884057971;TRUE;0,625;0,384615384615385;0,144927536231884;0,15625;0,490196078431373;0,129032258064516;0,289855072463768;0,0588235294117647;0,560989643268124;0,359608745684695;0,0794016110471807;0,717948717948718;0,32;0,833333333333333
"4";804644;11993;11993;8594;6;3;27;13;8;24;4;16;20;200;"Basketbal Academie Limburg";"Basketba";804644;8594;11993;8594;12;10;39;28;8;25;10;27;10;200;"Donar Groningen";"Donar Gr";2,76;5,52;53;90;FALSE;TRUE;73,76;79,52;69,618064516129;67,9969230769231;69;FALSE;68,807493796526;76,8115942028985;130,434782608696;-53,6231884057971;FALSE;0,490196078431373;0,129032258064516;0,289855072463768;0,0588235294117647;0,625;0,384615384615385;0,144927536231884;0,15625;0,502232142857143;0,446428571428571;0,0513392857142857;0,481481481481481;0,333333333333333;0,5
"5";804645;3520;3808;3520;11;4;50;27;3;15;13;31;22;200;"BV Noordkop";"BV Noord";804645;3808;3808;3520;18;10;45;23;4;18;6;21;19;200;"BV Leeuwarden";"BV Leeuw";5,06;8,28;67;68;FALSE;TRUE;92,06;90,28;77,7408823529412;84,0335135135135;81;TRUE;80,8871979332274;82,7160493827161;83,9506172839506;-1,23456790123457;TRUE;0,484615384615385;0,382352941176471;0,271604938271605;0,0615384615384615;0,46031746031746;0,162162162162162;0,234567901234568;0,158730158730159;0,713673993719669;0,214102198115901;0,0722238081644305;0,54;0,2;0,363636363636364
"6";804645;3808;3808;3520;18;10;45;23;4;18;6;21;19;200;"BV Leeuwarden";"BV Leeuw";804645;3520;3808;3520;11;4;50;27;3;15;13;31;22;200;"BV Noordkop";"BV Noord";8,28;5,06;68;67;TRUE;FALSE;90,28;92,06;84,0335135135135;77,7408823529412;81;TRUE;80,8871979332274;83,9506172839506;82,7160493827161;1,23456790123457;FALSE;0,46031746031746;0,162162162162162;0,234567901234568;0,158730158730159;0,484615384615385;0,382352941176471;0,271604938271605;0,0615384615384615;0,631313131313131;0,252525252525253;0,116161616161616;0,511111111111111;0,222222222222222;0,555555555555556
"7";804647;3107;10757;3107;2;1;54;28;12;26;14;28;10;200;"BS Leiden";"BS Leide";804647;10757;10757;3107;3;3;23;15;13;39;6;27;23;200;"BC APOLLO Amsterdam";"BC APOLL";0,92;1,38;93;72;TRUE;FALSE;90,92;86,38;76,3053658536585;79,96;78;FALSE;78,1326829268293;119,230769230769;92,3076923076923;26,9230769230769;TRUE;0,575;0,341463414634146;0,128205128205128;0,0125;0,556451612903226;0,176470588235294;0,294871794871795;0,0483870967741935;0,667325753830944;0,321304992585269;0,0113692535837865;0,518518518518518;0,461538461538462;0,5
"8";804647;10757;10757;3107;3;3;23;15;13;39;6;27;23;200;"BC APOLLO Amsterdam";"BC APOLL";804647;3107;10757;3107;2;1;54;28;12;26;14;28;10;200;"BS Leiden";"BS Leide";1,38;0,92;72;93;FALSE;TRUE;86,38;90,92;79,96;76,3053658536585;78;FALSE;78,1326829268293;92,3076923076923;119,230769230769;-26,9230769230769;FALSE;0,556451612903226;0,176470588235294;0,294871794871795;0,0483870967741935;0,575;0,341463414634146;0,128205128205128;0,0125;0,362890501735563;0,615336068160303;0,0217734301041338;0,652173913043478;0,333333333333333;1
"9";804648;10757;11993;10757;26;14;31;19;13;41;8;18;14;200;"BC APOLLO Amsterdam";"BC APOLL";804648;11993;11993;10757;13;9;39;19;8;30;14;28;16;200;"Basketbal Academie Limburg";"Basketba";11,96;5,98;91;71;TRUE;FALSE;97,96;90,98;88,4488888888889;71,31875;80;TRUE;79,8838194444444;113,75;88,75;25;TRUE;0,534722222222222;0,222222222222222;0,175;0,194444444444444;0,449275362318841;0,4375;0,2;0,130434782608696;0,369223439733206;0,488327775131015;0,142448785135779;0,612903225806452;0,317073170731707;0,538461538461538
"10";804648;11993;11993;10757;13;9;39;19;8;30;14;28;16;200;"Basketbal Academie Limburg";"Basketba";804648;10757;11993;10757;26;14;31;19;13;41;8;18;14;200;"BC APOLLO Amsterdam";"BC APOLL";5,98;11,96;71;91;FALSE;TRUE;90,98;97,96;71,31875;88,4488888888889;80;TRUE;79,8838194444444;88,75;113,75;-25;FALSE;0,449275362318841;0,4375;0,2;0,130434782608696;0,534722222222222;0,222222222222222;0,175;0,194444444444444;0,520138703654308;0,400106695118698;0,0797546012269939;0,487179487179487;0,266666666666667;0,692307692307692
