"";"plg_Name";"W";"L";"pts";"opp_pts";"avgps";"FG2M";"FG3M";"FG2A";"FG3A";"TO";"OR";"DR";"FTM";"FTA";"opp_FG2M";"opp_FG3M";"opp_FG2A";"opp_FG3A";"opp_TO";"opp_OR";"opp_DR";"opp_FTM";"opp_FTA";"Ortg";"Drtg";"Nrtg";"EFGpct";"ORpct";"TOpct";"FT4f";"opp_EFGpct";"opp_ORpct";"opp_TOpct";"opp_FT4f"
"1";"Basketbal Academie Limburg";3;18;1377;1783;1545;312;200;633;616;388;212;513;153;224;461;179;831;512;249;212;549;324;450;89,126213592233;115,404530744337;-26,2783171521036;0,489991993594876;0,278580814717477;0,251132686084142;0,122497998398719;0,543186895011169;0,292413793103448;0,161165048543689;0,241250930752048
"2";"BC APOLLO Amsterdam";5;15;1452;1680;1508;327;202;678;630;278;192;543;192;290;480;177;929;475;214;192;594;189;259;96,2864721485411;111,405835543767;-15,1193633952255;0,481651376146789;0,244274809160305;0,184350132625995;0,146788990825688;0,530982905982906;0,261224489795918;0,141909814323607;0,134615384615385
"3";"BS Leiden";16;2;1573;1315;1355;465;155;833;398;196;181;487;178;244;302;190;605;538;316;181;444;141;189;116,088560885609;97,0479704797048;19,0405904059041;0,566612510154346;0,2896;0,144649446494465;0,144597887896019;0,513560804899388;0,270958083832335;0,233210332103321;0,123359580052493
"4";"BV Leeuwarden";7;14;1498;1711;1558;398;151;820;474;327;200;524;249;339;450;192;783;511;277;200;574;235;336;96,1489088575096;109,82028241335;-13,6713735558408;0,482612055641422;0,258397932816537;0,209884467265725;0,19242658423493;0,57032457496136;0,276243093922652;0,177792041078306;0,18160741885626
"5";"BV Noordkop";7;13;1451;1629;1503;417;140;825;424;289;154;503;197;280;433;187;781;508;267;154;562;202;275;96,540252827678;108,383233532934;-11,8429807052562;0,502001601281025;0,215083798882682;0,192282102461743;0,157726180944756;0,553529868114818;0,234398782343988;0,177644710578842;0,156710628394104
"6";"Donar Groningen";14;5;1630;1346;1374;386;215;680;537;254;198;520;213;265;317;165;662;478;256;198;429;217;287;118,63173216885;97,962154294032;20,6695778748181;0,582169268693509;0,315789473684211;0,184861717612809;0,175020542317173;0,495175438596491;0,275766016713092;0,186317321688501;0,190350877192982
"7";"Dukes Unlimited";15;4;1567;1251;1378;409;162;751;450;240;213;490;263;353;323;136;641;471;329;213;450;197;266;113,715529753266;90,7837445573295;22,9317851959361;0,542880932556203;0,321266968325792;0,174165457184325;0,218984179850125;0,473920863309353;0,30298719772404;0,238751814223512;0,177158273381295
"8";"Dutch Windmills";10;9;1345;1361;1367;349;153;709;461;252;167;521;188;263;325;178;700;486;248;167;542;177;258;98,390636430139;99,5610826627652;-1,17044623262618;0,494444444444444;0,235543018335684;0,184345281638625;0,160683760683761;0,499156829679595;0,242732558139535;0,181419166057059;0,149241146711636
"9";"Landstede Basketbal";17;4;1759;1403;1585;500;151;909;481;241;237;589;306;408;383;139;779;499;372;237;530;220;308;110,977917981073;88,5173501577287;22,4605678233439;0,522661870503597;0,308996088657106;0,15205047318612;0,220143884892086;0,46283255086072;0,286924939467312;0,234700315457413;0,172143974960876
"10";"Rotterdam Basketbal";5;15;1411;1584;1511;343;177;704;560;305;179;566;194;274;432;163;831;553;242;179;582;231;312;93,3818663136995;104,831237590999;-11,4493712772998;0,481408227848101;0,235216819973719;0,201853077432164;0,153481012658228;0,488800578034682;0,240268456375839;0,160158835208471;0,166907514450867
