"","plg_Name","W","L","pts","opp_pts","avgps","FG2M","FG3M","FG2A","FG3A","TO","OR","DR","FTM","FTA","opp_FG2M","opp_FG3M","opp_FG2A","opp_FG3A","opp_TO","opp_OR","opp_DR","opp_FTM","opp_FTA","Ortg","Drtg","Nrtg","EFGpct","ORpct","TOpct","FT4f","opp_EFGpct","opp_ORpct","opp_TOpct","opp_FT4f"
"1","Basketbal Academie Limburg",3,16,1262,1606,1398,289,183,586,542,354,190,466,135,200,421,153,757,448,224,190,485,305,420,90.2718168812589,114.878397711016,-24.6065808297568,0.499556737588652,0.281481481481481,0.253218884120172,0.11968085106383,0.539834024896266,0.289634146341463,0.160228898426323,0.253112033195021
"2","BC APOLLO Amsterdam",3,15,1294,1550,1359,297,176,612,561,255,174,481,172,256,449,159,865,417,183,174,533,175,239,95.2170713760118,114.054451802796,-18.8373804267844,0.478260869565217,0.246110325318246,0.187637969094923,0.146632566069906,0.536271450858034,0.265648854961832,0.134657836644592,0.136505460218409
"3","BS Leiden",14,2,1397,1187,1208,417,137,744,358,173,160,424,152,205,277,173,545,471,290,160,398,114,158,115.645695364238,98.2615894039735,17.3841059602649,0.564882032667877,0.28673835125448,0.143211920529801,0.137931034482759,0.528051181102362,0.273972602739726,0.240066225165563,0.112204724409449
"4","BV Leeuwarden",6,13,1363,1573,1415,364,134,750,422,299,178,462,233,316,423,172,720,457,251,178,523,211,302,96.3250883392226,111.166077738516,-14.8409893992933,0.482081911262799,0.253922967189729,0.2113074204947,0.198805460750853,0.578589634664401,0.278125,0.177385159010601,0.179269328802039
"5","BV Noordkop",7,11,1326,1456,1351,380,129,756,382,243,141,462,179,257,387,167,707,453,238,141,513,181,247,98.1495188749075,107.772020725389,-9.62250185048113,0.503954305799649,0.215596330275229,0.179866765358993,0.157293497363796,0.549568965517241,0.233830845771144,0.176165803108808,0.156034482758621
"6","Donar Groningen",13,4,1488,1201,1232,355,199,618,488,221,182,477,181,226,280,150,591,434,224,182,381,191,252,120.779220779221,97.4837662337662,23.2954545454545,0.590867992766727,0.323268206039076,0.179383116883117,0.163652802893309,0.492682926829268,0.276176024279211,0.181818181818182,0.186341463414634
"7","Dukes Unlimited",14,3,1390,1088,1225,361,146,672,405,210,194,450,230,312,282,120,570,425,290,194,408,164,225,113.469387755102,88.8163265306122,24.6530612244898,0.538532961931291,0.322259136212625,0.171428571428571,0.21355617455896,0.464321608040201,0.301242236024845,0.236734693877551,0.164824120603015
"8","Dutch Windmills",10,7,1198,1206,1220,314,137,623,417,234,150,470,159,227,281,164,615,450,221,150,480,152,217,98.1967213114754,98.8524590163934,-0.655737704918025,0.499519230769231,0.238095238095238,0.191803278688525,0.152884615384615,0.494835680751174,0.241935483870968,0.181147540983607,0.142723004694836
"9","Landstede Basketbal",15,4,1593,1295,1437,456,132,832,422,216,217,531,285,383,351,127,712,451,330,217,486,212,296,110.855949895616,90.1183020180932,20.7376478775226,0.521531100478469,0.308677098150782,0.150313152400835,0.227272727272727,0.465606190885641,0.290106951871658,0.22964509394572,0.182287188306105
"10","Rotterdam Basketbal",4,14,1271,1420,1363,305,160,630,512,271,162,512,181,251,387,148,741,503,225,162,528,202,277,93.2501834189288,104.181951577403,-10.931768158474,0.47723292469352,0.234782608695652,0.198826118855466,0.158493870402802,0.489549839228296,0.240356083086053,0.16507703595011,0.162379421221865
